sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.196000	0.144000	-0.126000	0	0	0	25098	25072	24937
2	0.000038	0.000038	-0.630000	-1.270000	5.040000	0.196000	0.144000	-0.126000	29937	29873	30504	25098	25072	24937
3	0.140734	0.140696	-0.630000	-1.270000	5.040000	0.160000	0.128000	-0.120000	29937	29873	30504	25080	25064	24940
4	0.140808	0.000074	-0.660000	-1.390000	5.050000	0.160000	0.128000	-0.120000	29934	29861	30505	25080	25064	24940
5	0.171857	0.031050	-0.660000	-1.390000	5.050000	0.170000	0.122000	-0.118000	29934	29861	30505	25085	25061	24941
6	0.171939	0.000082	-0.650000	-1.260000	5.050000	0.170000	0.122000	-0.118000	29935	29874	30505	25085	25061	24941
7	0.203060	0.031121	-0.650000	-1.260000	5.050000	0.156000	0.118000	-0.124000	29935	29874	30505	25078	25059	24938
8	0.203128	0.000067	-0.630000	-1.320000	4.490000	0.156000	0.118000	-0.124000	29937	29868	30449	25078	25059	24938
9	0.233556	0.030428	-0.630000	-1.320000	4.490000	0.168000	0.122000	-0.126000	29937	29868	30449	25084	25061	24937
10	0.233679	0.000124	-0.580000	-1.160000	4.500000	0.168000	0.122000	-0.126000	29942	29884	30450	25084	25061	24937
11	0.266933	0.033254	-0.580000	-1.160000	4.500000	0.160000	0.130000	-0.122000	29942	29884	30450	25080	25065	24939
12	0.266999	0.000066	-0.590000	-1.080000	4.480000	0.160000	0.130000	-0.122000	29941	29892	30448	25080	25065	24939
13	0.296195	0.029196	-0.590000	-1.080000	4.480000	0.158000	0.144000	-0.122000	29941	29892	30448	25079	25072	24939
14	0.296274	0.000079	-0.690000	-1.050000	4.770000	0.158000	0.144000	-0.122000	29931	29895	30477	25079	25072	24939
15	0.324586	0.028312	-0.690000	-1.050000	4.770000	0.148000	0.136000	-0.122000	29931	29895	30477	25074	25068	24939
16	0.324657	0.000071	-0.740000	-1.200000	4.760000	0.148000	0.136000	-0.122000	29926	29880	30476	25074	25068	24939
17	0.352642	0.027986	-0.740000	-1.200000	4.760000	0.156000	0.126000	-0.126000	29926	29880	30476	25078	25063	24937
18	0.352733	0.000090	-0.510000	-1.530000	4.780000	0.156000	0.126000	-0.126000	29949	29847	30478	25078	25063	24937
19	0.384461	0.031728	-0.510000	-1.530000	4.780000	0.168000	0.118000	-0.108000	29949	29847	30478	25084	25059	24946
20	0.384542	0.000081	-0.580000	-1.370000	4.490000	0.168000	0.118000	-0.108000	29942	29863	30449	25084	25059	24946
21	0.423064	0.038522	-0.580000	-1.370000	4.490000	0.148000	0.108000	-0.102000	29942	29863	30449	25074	25054	24949
22	0.423140	0.000076	-0.560000	-1.290000	4.500000	0.148000	0.108000	-0.102000	29944	29871	30450	25074	25054	24949
23	0.455899	0.032759	-0.560000	-1.290000	4.500000	0.144000	0.112000	-0.100000	29944	29871	30450	25072	25056	24950
24	0.455981	0.000082	-1.070000	-1.350000	4.490000	0.144000	0.112000	-0.100000	29893	29865	30449	25072	25056	24950
25	0.490363	0.034382	-1.070000	-1.350000	4.490000	0.174000	0.094000	-0.106000	29893	29865	30449	25087	25047	24947
26	0.490481	0.000118	-1.200000	-1.640000	4.490000	0.174000	0.094000	-0.106000	29880	29836	30449	25087	25047	24947
27	0.528234	0.037753	-1.200000	-1.640000	4.490000	0.190000	0.098000	-0.110000	29880	29836	30449	25095	25049	24945
28	0.528330	0.000096	-1.220000	-1.720000	4.480000	0.190000	0.098000	-0.110000	29878	29828	30448	25095	25049	24945
29	0.559966	0.031636	-1.220000	-1.720000	4.480000	0.194000	0.092000	-0.112000	29878	29828	30448	25097	25046	24944
30	0.560054	0.000089	-0.860000	-1.190000	4.450000	0.194000	0.092000	-0.112000	29914	29881	30445	25097	25046	24944
31	0.594450	0.034396	-0.860000	-1.190000	4.450000	0.140000	0.122000	-0.122000	29914	29881	30445	25070	25061	24939
32	0.594553	0.000103	-0.560000	-1.310000	4.160000	0.140000	0.122000	-0.122000	29944	29869	30416	25070	25061	24939
33	0.635524	0.040972	-0.560000	-1.310000	4.160000	0.172000	0.148000	-0.122000	29944	29869	30416	25086	25074	24939
34	0.635613	0.000089	-0.560000	-1.310000	4.160000	0.172000	0.148000	-0.122000	29944	29869	30416	25086	25074	24939
35	0.676187	0.040574	-0.560000	-1.310000	4.160000	0.172000	0.148000	-0.122000	29944	29869	30416	25086	25074	24939
36	0.676277	0.000089	-1.010000	-1.980000	4.220000	0.172000	0.148000	-0.122000	29899	29802	30422	25086	25074	24939
37	0.713432	0.037156	-1.010000	-1.980000	4.220000	0.240000	0.104000	-0.118000	29899	29802	30422	25120	25052	24941
38	0.713498	0.000066	-1.200000	-1.840000	4.210000	0.240000	0.104000	-0.118000	29880	29816	30421	25120	25052	24941
39	0.749976	0.036478	-1.200000	-1.840000	4.210000	0.210000	0.084000	-0.112000	29880	29816	30421	25105	25042	24944
40	0.750061	0.000085	-1.200000	-1.840000	4.210000	0.210000	0.084000	-0.112000	29880	29816	30421	25105	25042	24944
41	0.789381	0.039320	-1.200000	-1.840000	4.210000	0.210000	0.084000	-0.112000	29880	29816	30421	25105	25042	24944
42	0.789508	0.000127	-0.710000	-1.480000	4.180000	0.210000	0.084000	-0.112000	29929	29852	30418	25105	25042	24944
43	0.879418	0.089910	-0.710000	-1.480000	4.180000	0.164000	0.122000	-0.114000	29929	29852	30418	25082	25061	24943
44	0.879543	0.000125	-0.800000	-1.340000	4.490000	0.164000	0.122000	-0.114000	29920	29866	30449	25082	25061	24943
45	0.947932	0.068389	-0.800000	-1.340000	4.490000	0.150000	0.110000	-0.116000	29920	29866	30449	25075	25055	24942
46	0.948000	0.000068	-0.800000	-1.340000	4.490000	0.150000	0.110000	-0.116000	29920	29866	30449	25075	25055	24942
47	0.977626	0.029626	-0.800000	-1.340000	4.490000	0.150000	0.110000	-0.116000	29920	29866	30449	25075	25055	24942
48	0.977765	0.000139	-0.850000	-1.140000	4.460000	0.150000	0.110000	-0.116000	29915	29886	30446	25075	25055	24942
49	1.008135	0.030370	-0.850000	-1.140000	4.460000	0.136000	0.114000	-0.122000	29915	29886	30446	25068	25057	24939
50	1.008226	0.000091	-0.480000	-1.310000	5.000000	0.136000	0.114000	-0.122000	29952	29869	30500	25068	25057	24939
51	1.088958	0.080733	-0.480000	-1.310000	5.000000	0.168000	0.146000	-0.122000	29952	29869	30500	25084	25073	24939
52	1.089029	0.000071	-0.490000	-1.240000	5.000000	0.168000	0.146000	-0.122000	29951	29876	30500	25084	25073	24939
53	1.125380	0.036351	-0.490000	-1.240000	5.000000	0.162000	0.142000	-0.120000	29951	29876	30500	25081	25071	24940
54	1.125484	0.000104	-0.600000	-1.360000	5.070000	0.162000	0.142000	-0.120000	29940	29864	30507	25081	25071	24940
55	1.154368	0.028884	-0.600000	-1.360000	5.070000	0.184000	0.132000	-0.110000	29940	29864	30507	25092	25066	24945
56	1.154453	0.000085	-1.000000	-1.290000	4.500000	0.184000	0.132000	-0.110000	29900	29871	30450	25092	25066	24945
57	1.190604	0.036151	-1.000000	-1.290000	4.500000	0.164000	0.100000	-0.104000	29900	29871	30450	25082	25050	24948
58	1.190728	0.000124	-0.990000	-1.370000	4.500000	0.164000	0.100000	-0.104000	29901	29863	30450	25082	25050	24948
59	1.220671	0.029943	-0.990000	-1.370000	4.500000	0.172000	0.104000	-0.106000	29901	29863	30450	25086	25052	24947
60	1.220765	0.000094	-0.900000	-1.360000	4.480000	0.172000	0.104000	-0.106000	29910	29864	30448	25086	25052	24947
61	1.251278	0.030513	-0.900000	-1.360000	4.480000	0.166000	0.112000	-0.106000	29910	29864	30448	25083	25056	24947
62	1.251343	0.000066	-0.420000	-1.330000	4.480000	0.166000	0.112000	-0.106000	29958	29867	30448	25083	25056	24947
63	1.285208	0.033865	-0.420000	-1.330000	4.480000	0.174000	0.146000	-0.114000	29958	29867	30448	25087	25073	24943
64	1.285321	0.000113	-0.420000	-1.330000	4.480000	0.174000	0.146000	-0.114000	29958	29867	30448	25087	25073	24943
65	1.323966	0.038645	-0.420000	-1.330000	4.480000	0.174000	0.146000	-0.114000	29958	29867	30448	25087	25073	24943
66	1.324058	0.000092	-0.340000	-1.040000	4.480000	0.174000	0.146000	-0.114000	29966	29896	30448	25087	25073	24943
67	1.359880	0.035822	-0.340000	-1.040000	4.480000	0.150000	0.152000	-0.114000	29966	29896	30448	25075	25076	24943
68	1.360014	0.000134	-0.530000	-0.970000	4.470000	0.150000	0.152000	-0.114000	29947	29903	30447	25075	25076	24943
69	1.393650	0.033636	-0.530000	-0.970000	4.470000	0.128000	0.136000	-0.110000	29947	29903	30447	25064	25068	24945
70	1.393724	0.000074	-0.530000	-1.110000	4.180000	0.128000	0.136000	-0.110000	29947	29889	30418	25064	25068	24945
71	1.424244	0.030520	-0.530000	-1.110000	4.180000	0.140000	0.142000	-0.110000	29947	29889	30418	25070	25071	24945
72	1.424338	0.000095	-0.440000	-1.100000	4.160000	0.140000	0.142000	-0.110000	29956	29890	30416	25070	25071	24945
73	1.461745	0.037407	-0.440000	-1.100000	4.160000	0.134000	0.150000	-0.112000	29956	29890	30416	25067	25075	24944
74	1.461864	0.000119	-0.440000	-1.100000	4.160000	0.134000	0.150000	-0.112000	29956	29890	30416	25067	25075	24944
75	1.501673	0.039809	-0.440000	-1.100000	4.160000	0.134000	0.150000	-0.112000	29956	29890	30416	25067	25075	24944
76	1.501794	0.000121	-0.240000	-1.050000	4.740000	0.134000	0.150000	-0.112000	29976	29895	30474	25067	25075	24944
77	1.539952	0.038158	-0.240000	-1.050000	4.740000	0.144000	0.162000	-0.114000	29976	29895	30474	25072	25081	24943
78	1.540058	0.000106	-0.200000	-0.620000	4.730000	0.144000	0.162000	-0.114000	29980	29938	30473	25072	25081	24943
79	1.571137	0.031080	-0.200000	-0.620000	4.730000	0.120000	0.186000	-0.118000	29980	29938	30473	25060	25093	24941
80	1.571206	0.000069	-0.320000	-0.680000	4.730000	0.120000	0.186000	-0.118000	29968	29932	30473	25060	25093	24941
81	1.609401	0.038195	-0.320000	-0.680000	4.730000	0.130000	0.178000	-0.116000	29968	29932	30473	25065	25089	24942
82	1.609482	0.000081	-0.330000	-0.670000	4.450000	0.130000	0.178000	-0.116000	29967	29933	30445	25065	25089	24942
83	1.639611	0.030129	-0.330000	-0.670000	4.450000	0.128000	0.176000	-0.116000	29967	29933	30445	25064	25088	24942
84	1.639724	0.000113	-0.650000	-1.630000	4.500000	0.128000	0.176000	-0.116000	29935	29837	30450	25064	25088	24942
85	1.668880	0.029156	-0.650000	-1.630000	4.500000	0.206000	0.126000	-0.110000	29935	29837	30450	25103	25063	24945
86	1.668962	0.000082	-0.910000	-1.720000	4.510000	0.206000	0.126000	-0.110000	29909	29828	30451	25103	25063	24945
87	1.705084	0.036122	-0.910000	-1.720000	4.510000	0.222000	0.108000	-0.106000	29909	29828	30451	25111	25054	24947
88	1.705166	0.000082	-1.280000	-1.630000	3.640000	0.222000	0.108000	-0.106000	29872	29837	30364	25111	25054	24947
89	1.739987	0.034821	-1.280000	-1.630000	3.640000	0.188000	0.080000	-0.100000	29872	29837	30364	25094	25040	24950
90	1.740092	0.000105	-1.220000	-1.580000	3.620000	0.188000	0.080000	-0.100000	29878	29842	30362	25094	25040	24950
91	1.773550	0.033458	-1.220000	-1.580000	3.620000	0.180000	0.084000	-0.102000	29878	29842	30362	25090	25042	24949
92	1.773679	0.000129	-1.080000	-1.560000	3.620000	0.180000	0.084000	-0.102000	29892	29844	30362	25090	25042	24949
93	1.805335	0.031656	-1.080000	-1.560000	3.620000	0.174000	0.094000	-0.102000	29892	29844	30362	25087	25047	24949
94	1.805409	0.000075	-0.900000	-1.560000	3.630000	0.174000	0.094000	-0.102000	29910	29844	30363	25087	25047	24949
95	1.836001	0.030592	-0.900000	-1.560000	3.630000	0.190000	0.106000	-0.106000	29910	29844	30363	25095	25053	24947
96	1.836129	0.000127	-0.780000	-1.140000	3.610000	0.190000	0.106000	-0.106000	29922	29886	30361	25095	25053	24947
97	1.866603	0.030475	-0.780000	-1.140000	3.610000	0.156000	0.128000	-0.110000	29922	29886	30361	25078	25064	24945
98	1.866683	0.000080	-0.750000	-1.000000	3.620000	0.156000	0.128000	-0.110000	29925	29900	30362	25078	25064	24945
99	1.932381	0.065698	-0.750000	-1.000000	3.620000	0.138000	0.124000	-0.114000	29925	29900	30362	25069	25062	24943
100	1.932452	0.000072	-0.610000	-1.050000	3.630000	0.138000	0.124000	-0.114000	29939	29895	30363	25069	25062	24943
101	1.961527	0.029074	-0.610000	-1.050000	3.630000	0.156000	0.136000	-0.116000	29939	29895	30363	25078	25068	24942
102	1.961638	0.000112	-0.590000	-1.010000	3.660000	0.156000	0.136000	-0.116000	29941	29899	30366	25078	25068	24942
103	2.002756	0.041118	-0.590000	-1.010000	3.660000	0.156000	0.140000	-0.112000	29941	29899	30366	25078	25070	24944
104	2.002849	0.000093	-0.330000	-1.000000	3.640000	0.156000	0.140000	-0.112000	29967	29900	30364	25078	25070	24944
105	2.043688	0.040839	-0.330000	-1.000000	3.640000	0.152000	0.160000	-0.110000	29967	29900	30364	25076	25080	24945
106	2.043766	0.000078	-0.360000	-0.890000	5.050000	0.152000	0.160000	-0.110000	29964	29911	30505	25076	25080	24945
107	2.075945	0.032180	-0.360000	-0.890000	5.050000	0.130000	0.152000	-0.106000	29964	29911	30505	25065	25076	24947
108	2.076047	0.000102	-0.470000	-1.250000	5.000000	0.130000	0.152000	-0.106000	29953	29875	30500	25065	25076	24947
109	2.103773	0.027726	-0.470000	-1.250000	5.000000	0.144000	0.130000	-0.118000	29953	29875	30500	25072	25065	24941
110	2.103903	0.000130	-0.400000	-1.110000	5.000000	0.144000	0.130000	-0.118000	29960	29889	30500	25072	25065	24941
111	2.135289	0.031386	-0.400000	-1.110000	5.000000	0.128000	0.128000	-0.122000	29960	29889	30500	25064	25064	24939
112	2.135371	0.000082	-0.360000	-1.050000	4.180000	0.128000	0.128000	-0.122000	29964	29895	30418	25064	25064	24939
113	2.166601	0.031231	-0.360000	-1.050000	4.180000	0.134000	0.130000	-0.124000	29964	29895	30418	25067	25065	24938
114	2.166688	0.000087	-0.290000	-0.930000	4.160000	0.134000	0.130000	-0.124000	29971	29907	30416	25067	25065	24938
115	2.195464	0.028776	-0.290000	-0.930000	4.160000	0.126000	0.138000	-0.126000	29971	29907	30416	25063	25069	24937
116	2.195563	0.000098	-0.940000	-0.990000	4.200000	0.126000	0.138000	-0.126000	29906	29901	30420	25063	25069	24937
117	2.225526	0.029963	-0.940000	-0.990000	4.200000	0.172000	0.118000	-0.120000	29906	29901	30420	25086	25059	24940
118	2.225602	0.000076	-0.890000	-1.210000	4.470000	0.172000	0.118000	-0.120000	29911	29879	30447	25086	25059	24940
119	2.258155	0.032553	-0.890000	-1.210000	4.470000	0.192000	0.130000	-0.122000	29911	29879	30447	25096	25065	24939
120	2.258270	0.000114	-0.950000	-1.440000	4.490000	0.192000	0.130000	-0.122000	29905	29856	30449	25096	25065	24939
121	2.289711	0.031441	-0.950000	-1.440000	4.490000	0.210000	0.118000	-0.118000	29905	29856	30449	25105	25059	24941
122	2.289801	0.000090	-0.790000	-1.360000	4.480000	0.210000	0.118000	-0.118000	29921	29864	30448	25105	25059	24941
123	2.322636	0.032835	-0.790000	-1.360000	4.480000	0.196000	0.124000	-0.114000	29921	29864	30448	25098	25062	24943
124	2.322699	0.000063	-0.990000	-1.140000	3.920000	0.196000	0.124000	-0.114000	29901	29886	30392	25098	25062	24943
125	2.357845	0.035146	-0.990000	-1.140000	3.920000	0.166000	0.102000	-0.108000	29901	29886	30392	25083	25051	24946
126	2.357978	0.000133	-0.990000	-1.140000	3.920000	0.166000	0.102000	-0.108000	29901	29886	30392	25083	25051	24946
127	2.400538	0.042561	-0.990000	-1.140000	3.920000	0.166000	0.102000	-0.108000	29901	29886	30392	25083	25051	24946
128	2.400683	0.000145	-0.800000	-1.060000	3.930000	0.166000	0.102000	-0.108000	29920	29894	30393	25083	25051	24946
