sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	2.050000	0.440000	-1.530000	0.000000	0.000000	0.000000	30205	30044	29847	0	0	0
2	0.194111	0.194111	2.050000	0.440000	-1.530000	-0.022000	0.024000	0.022000	30205	30044	29847	24989	25012	25011
3	0.194198	0.000087	2.250000	0.660000	-1.550000	-0.022000	0.024000	0.022000	30225	30066	29845	24989	25012	25011
4	0.226743	0.032546	2.250000	0.660000	-1.550000	-0.016000	0.024000	0.012000	30225	30066	29845	24992	25012	25006
5	0.226890	0.000147	2.110000	0.690000	-1.570000	-0.016000	0.024000	0.012000	30211	30069	29843	24992	25012	25006
6	0.260319	0.033429	2.110000	0.690000	-1.570000	-0.016000	0.030000	0.012000	30211	30069	29843	24992	25015	25006
7	0.260417	0.000097	2.070000	0.690000	-1.570000	-0.016000	0.030000	0.012000	30207	30069	29843	24992	25015	25006
8	0.290330	0.029914	2.070000	0.690000	-1.570000	-0.014000	0.030000	0.020000	30207	30069	29843	24993	25015	25010
9	0.290604	0.000274	2.210000	0.470000	-1.580000	-0.014000	0.030000	0.020000	30221	30047	29842	24993	25015	25010
10	0.323821	0.033217	2.210000	0.470000	-1.580000	-0.018000	0.028000	0.022000	30221	30047	29842	24991	25014	25011
11	0.323944	0.000122	2.280000	0.480000	-1.580000	-0.018000	0.028000	0.022000	30228	30048	29842	24991	25014	25011
12	0.357342	0.033399	2.280000	0.480000	-1.580000	-0.018000	0.022000	0.026000	30228	30048	29842	24991	25011	25013
13	0.357584	0.000242	2.250000	0.710000	-1.530000	-0.018000	0.022000	0.026000	30225	30071	29847	24991	25011	25013
14	0.388594	0.031010	2.250000	0.710000	-1.530000	-0.014000	0.020000	0.024000	30225	30071	29847	24993	25010	25012
15	0.388660	0.000066	2.180000	0.570000	-1.550000	-0.014000	0.020000	0.024000	30218	30057	29845	24993	25010	25012
