sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.380000	-0.140000	-2.640000	0.000000	0.000000	0.000000	30038	29986	29736	0	0	0
2	0.171238	0.171238	0.380000	-0.140000	-2.640000	0.034000	0.076000	0.036000	30038	29986	29736	25017	25038	25018
3	0.171338	0.000100	0.450000	-0.170000	-2.650000	0.034000	0.076000	0.036000	30045	29983	29735	25017	25038	25018
4	0.206723	0.035385	0.450000	-0.170000	-2.650000	0.040000	0.082000	0.038000	30045	29983	29735	25020	25041	25019
5	0.206793	0.000070	0.330000	-0.230000	-2.640000	0.040000	0.082000	0.038000	30033	29977	29736	25020	25041	25019
6	0.239230	0.032437	0.330000	-0.230000	-2.640000	0.048000	0.074000	0.040000	30033	29977	29736	25024	25037	25020
7	0.239361	0.000131	0.070000	-0.670000	-2.680000	0.048000	0.074000	0.040000	30007	29933	29732	25024	25037	25020
8	0.272690	0.033329	0.070000	-0.670000	-2.680000	0.084000	0.052000	0.028000	30007	29933	29732	25042	25026	25014
9	0.272852	0.000162	-0.060000	-0.610000	-2.660000	0.084000	0.052000	0.028000	29994	29939	29734	25042	25026	25014
10	0.307154	0.034302	-0.060000	-0.610000	-2.660000	0.074000	0.042000	0.026000	29994	29939	29734	25037	25021	25013
11	0.307276	0.000123	0.460000	-0.130000	-3.210000	0.074000	0.042000	0.026000	30046	29987	29679	25037	25021	25013
12	0.349257	0.041981	0.460000	-0.130000	-3.210000	0.016000	0.080000	0.014000	30046	29987	29679	25008	25040	25007
13	0.349424	0.000167	0.480000	-0.030000	-3.210000	0.016000	0.080000	0.014000	30048	29997	29679	25008	25040	25007
14	0.387580	0.038156	0.480000	-0.030000	-3.210000	0.006000	0.074000	0.014000	30048	29997	29679	25003	25037	25007
15	0.387707	0.000127	0.620000	-0.090000	-3.230000	0.006000	0.074000	0.014000	30062	29991	29677	25003	25037	25007
16	0.417863	0.030157	0.620000	-0.090000	-3.230000	0.016000	0.086000	0.016000	30062	29991	29677	25008	25043	25008
17	0.417948	0.000085	-0.390000	-1.030000	-3.660000	0.016000	0.086000	0.016000	29961	29897	29634	25008	25043	25008
18	0.449623	0.031675	-0.390000	-1.030000	-3.660000	0.132000	0.006000	0.040000	29961	29897	29634	25066	25003	25020
19	0.449704	0.000081	-0.260000	-0.830000	-3.650000	0.132000	0.006000	0.040000	29974	29917	29635	25066	25003	25020
20	0.479914	0.030210	-0.260000	-0.830000	-3.650000	0.116000	0.020000	0.046000	29974	29917	29635	25058	25010	25023
21	0.480015	0.000102	-0.330000	-0.800000	-3.640000	0.116000	0.020000	0.046000	29967	29920	29636	25058	25010	25023
22	0.508457	0.028442	-0.330000	-0.800000	-3.640000	0.112000	0.014000	0.046000	29967	29920	29636	25056	25007	25023
23	0.508549	0.000092	0.320000	-0.300000	-2.650000	0.112000	0.014000	0.046000	30032	29970	29735	25056	25007	25023
24	0.534874	0.026324	0.320000	-0.300000	-2.650000	0.048000	0.066000	0.032000	30032	29970	29735	25024	25033	25016
25	0.534943	0.000070	0.100000	-0.400000	-2.650000	0.048000	0.066000	0.032000	30010	29960	29735	25024	25033	25016
26	0.562853	0.027910	0.100000	-0.400000	-2.650000	0.060000	0.056000	0.026000	30010	29960	29735	25030	25028	25013
27	0.562940	0.000086	0.160000	-0.430000	-2.660000	0.060000	0.056000	0.026000	30016	29957	29734	25030	25028	25013
28	0.594094	0.031154	0.160000	-0.430000	-2.660000	0.066000	0.062000	0.026000	30016	29957	29734	25033	25031	25013
29	0.594182	0.000088	0.320000	-0.260000	-2.680000	0.066000	0.062000	0.026000	30032	29974	29732	25033	25031	25013
30	0.622281	0.028100	0.320000	-0.260000	-2.680000	0.048000	0.076000	0.022000	30032	29974	29732	25024	25038	25011
31	0.622477	0.000195	0.380000	0.000000	-2.690000	0.048000	0.076000	0.022000	30038	30000	29731	25024	25038	25011
32	0.649557	0.027081	0.380000	0.000000	-2.690000	-0.002000	0.076000	0.040000	30038	30000	29731	24999	25038	25020
33	0.649687	0.000129	0.380000	0.000000	-2.690000	-0.002000	0.076000	0.040000	30038	30000	29731	24999	25038	25020
34	0.678655	0.028968	0.380000	0.000000	-2.690000	-0.002000	0.076000	0.040000	30038	30000	29731	24999	25038	25020
35	0.678724	0.000069	0.370000	0.010000	-3.190000	-0.002000	0.076000	0.040000	30037	30001	29681	24999	25038	25020
36	0.711801	0.033077	0.370000	0.010000	-3.190000	-0.008000	0.068000	0.038000	30037	30001	29681	24996	25034	25019
37	0.711917	0.000116	0.510000	-0.050000	-3.190000	-0.008000	0.068000	0.038000	30051	29995	29681	24996	25034	25019
38	0.748153	0.036237	0.510000	-0.050000	-3.190000	0.002000	0.078000	0.036000	30051	29995	29681	25001	25039	25018
39	0.748265	0.000112	0.510000	-0.050000	-3.190000	0.002000	0.078000	0.036000	30051	29995	29681	25001	25039	25018
40	0.787005	0.038740	0.510000	-0.050000	-3.190000	0.002000	0.078000	0.036000	30051	29995	29681	25001	25039	25018
41	0.787071	0.000066	0.730000	0.100000	-2.970000	0.002000	0.078000	0.036000	30073	30010	29703	25001	25039	25018
42	0.814693	0.027622	0.730000	0.100000	-2.970000	-0.006000	0.102000	0.036000	30073	30010	29703	24997	25051	25018
43	0.814798	0.000106	0.310000	-0.240000	-3.000000	-0.006000	0.102000	0.036000	30031	29976	29700	24997	25051	25018
44	0.849498	0.034699	0.310000	-0.240000	-3.000000	0.018000	0.058000	0.018000	30031	29976	29700	25009	25029	25009
45	0.849560	0.000062	0.310000	-0.240000	-3.000000	0.018000	0.058000	0.018000	30031	29976	29700	25009	25029	25009
