sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-3.010000	3.210000	-10.560000	0.000000	0.000000	0.000000	29699	30321	28944	0	0	0
2	0.169602	0.169602	-3.010000	3.210000	-10.560000	-0.104000	-0.022000	0.196000	29699	30321	28944	24948	24989	25098
3	0.169717	0.000115	-2.920000	3.080000	-10.490000	-0.104000	-0.022000	0.196000	29708	30308	28951	24948	24989	25098
4	0.209177	0.039461	-2.920000	3.080000	-10.490000	-0.106000	-0.030000	0.196000	29708	30308	28951	24947	24985	25098
5	0.209328	0.000151	-2.870000	3.070000	-10.580000	-0.106000	-0.030000	0.196000	29713	30307	28942	24947	24985	25098
6	0.242211	0.032883	-2.870000	3.070000	-10.580000	-0.106000	-0.030000	0.200000	29713	30307	28942	24947	24985	25100
7	0.242348	0.000137	-3.100000	2.840000	-10.560000	-0.106000	-0.030000	0.200000	29690	30284	28944	24947	24985	25100
8	0.278541	0.036193	-3.100000	2.840000	-10.560000	-0.114000	-0.024000	0.214000	29690	30284	28944	24943	24988	25107
9	0.278626	0.000085	-3.100000	2.760000	-10.530000	-0.114000	-0.024000	0.214000	29690	30276	28947	24943	24988	25107
10	0.311776	0.033150	-3.100000	2.760000	-10.530000	-0.114000	-0.024000	0.222000	29690	30276	28947	24943	24988	25111
11	0.311858	0.000082	-3.010000	2.900000	-10.480000	-0.114000	-0.024000	0.222000	29699	30290	28952	24943	24988	25111
12	0.342742	0.030884	-3.010000	2.900000	-10.480000	-0.116000	-0.026000	0.214000	29699	30290	28952	24942	24987	25107
13	0.342842	0.000101	-2.750000	2.950000	-10.560000	-0.116000	-0.026000	0.214000	29725	30295	28944	24942	24987	25107
14	0.375203	0.032360	-2.750000	2.950000	-10.560000	-0.110000	-0.032000	0.212000	29725	30295	28944	24945	24984	25106
15	0.375317	0.000114	-2.760000	3.110000	-10.630000	-0.110000	-0.032000	0.212000	29724	30311	28937	24945	24984	25106
16	0.409510	0.034193	-2.760000	3.110000	-10.630000	-0.108000	-0.032000	0.200000	29724	30311	28937	24946	24984	25100
17	0.409604	0.000095	-2.820000	3.100000	-10.590000	-0.108000	-0.032000	0.200000	29718	30310	28941	24946	24984	25100
18	0.441764	0.032159	-2.820000	3.100000	-10.590000	-0.110000	-0.030000	0.202000	29718	30310	28941	24945	24985	25101
19	0.441860	0.000096	-3.050000	3.070000	-10.580000	-0.110000	-0.030000	0.202000	29695	30307	28942	24945	24985	25101
20	0.487744	0.045884	-3.050000	3.070000	-10.580000	-0.108000	-0.022000	0.202000	29695	30307	28942	24946	24989	25101
21	0.487921	0.000177	-3.060000	3.020000	-10.580000	-0.108000	-0.022000	0.202000	29694	30302	28942	24946	24989	25101
22	0.528859	0.040938	-3.060000	3.020000	-10.580000	-0.110000	-0.030000	0.208000	29694	30302	28942	24945	24985	25104
23	0.528986	0.000127	-3.080000	3.020000	-10.580000	-0.110000	-0.030000	0.208000	29692	30302	28942	24945	24985	25104
24	0.562775	0.033789	-3.080000	3.020000	-10.580000	-0.108000	-0.028000	0.212000	29692	30302	28942	24946	24986	25106
25	0.562861	0.000086	-2.950000	2.860000	-10.580000	-0.108000	-0.028000	0.212000	29705	30286	28942	24946	24986	25106
26	0.596569	0.033708	-2.950000	2.860000	-10.580000	-0.120000	-0.028000	0.214000	29705	30286	28942	24940	24986	25107
27	0.596634	0.000066	-3.060000	2.910000	-10.580000	-0.120000	-0.028000	0.214000	29694	30291	28942	24940	24986	25107
28	0.630319	0.033685	-3.060000	2.910000	-10.580000	-0.116000	-0.028000	0.216000	29694	30291	28942	24942	24986	25108
29	0.630394	0.000075	-3.150000	2.940000	-10.530000	-0.116000	-0.028000	0.216000	29685	30294	28947	24942	24986	25108
30	0.662026	0.031633	-3.150000	2.940000	-10.530000	-0.110000	-0.026000	0.212000	29685	30294	28947	24945	24987	25106
31	0.662100	0.000074	-2.960000	3.070000	-10.530000	-0.110000	-0.026000	0.212000	29704	30307	28947	24945	24987	25106
32	0.699323	0.037223	-2.960000	3.070000	-10.530000	-0.104000	-0.028000	0.206000	29704	30307	28947	24948	24986	25103
33	0.699667	0.000344	-2.790000	3.070000	-10.530000	-0.104000	-0.028000	0.206000	29721	30307	28947	24948	24986	25103
34	0.739215	0.039548	-2.790000	3.070000	-10.530000	-0.102000	-0.032000	0.208000	29721	30307	28947	24949	24984	25104
35	0.739298	0.000083	-3.210000	2.920000	-10.480000	-0.102000	-0.032000	0.208000	29679	30292	28952	24949	24984	25104
36	0.770052	0.030754	-3.210000	2.920000	-10.480000	-0.116000	-0.022000	0.218000	29679	30292	28952	24942	24989	25109
37	0.770128	0.000076	-3.160000	2.930000	-10.480000	-0.116000	-0.022000	0.218000	29684	30293	28952	24942	24989	25109
38	0.804892	0.034764	-3.160000	2.930000	-10.480000	-0.110000	-0.018000	0.214000	29684	30293	28952	24945	24991	25107
39	0.804956	0.000064	-3.120000	3.110000	-10.480000	-0.110000	-0.018000	0.214000	29688	30311	28952	24945	24991	25107
40	0.835217	0.030261	-3.120000	3.110000	-10.480000	-0.104000	-0.020000	0.196000	29688	30311	28952	24948	24990	25098
41	0.835335	0.000118	-3.210000	3.150000	-10.480000	-0.104000	-0.020000	0.196000	29679	30315	28952	24948	24990	25098
42	0.868545	0.033210	-3.210000	3.150000	-10.480000	-0.108000	-0.022000	0.202000	29679	30315	28952	24946	24989	25101
43	0.868604	0.000059	-3.140000	2.970000	-10.500000	-0.108000	-0.022000	0.202000	29686	30297	28950	24946	24989	25101
44	0.929952	0.061348	-3.140000	2.970000	-10.500000	-0.112000	-0.018000	0.210000	29686	30297	28950	24944	24991	25105
45	0.930099	0.000147	-3.130000	3.060000	-10.530000	-0.112000	-0.018000	0.210000	29687	30306	28947	24944	24991	25105
46	0.960106	0.030007	-3.130000	3.060000	-10.530000	-0.110000	-0.020000	0.206000	29687	30306	28947	24945	24990	25103
47	0.960169	0.000063	-3.110000	3.080000	-10.530000	-0.110000	-0.020000	0.206000	29689	30308	28947	24945	24990	25103
48	0.990479	0.030310	-3.110000	3.080000	-10.530000	-0.112000	-0.024000	0.204000	29689	30308	28947	24944	24988	25102
49	0.990599	0.000120	-3.240000	2.980000	-10.530000	-0.112000	-0.024000	0.204000	29676	30298	28947	24944	24988	25102
50	1.021466	0.030867	-3.240000	2.980000	-10.530000	-0.110000	-0.018000	0.202000	29676	30298	28947	24945	24991	25101
51	1.021788	0.000322	-3.160000	2.940000	-10.530000	-0.110000	-0.018000	0.202000	29684	30294	28947	24945	24991	25101
52	1.048712	0.026924	-3.160000	2.940000	-10.530000	-0.112000	-0.022000	0.210000	29684	30294	28947	24944	24989	25105
53	1.048800	0.000088	-3.020000	2.950000	-10.530000	-0.112000	-0.022000	0.210000	29698	30295	28947	24944	24989	25105
54	1.079254	0.030454	-3.020000	2.950000	-10.530000	-0.110000	-0.028000	0.210000	29698	30295	28947	24945	24986	25105
55	1.079320	0.000066	-2.940000	2.920000	-10.540000	-0.110000	-0.028000	0.210000	29706	30292	28946	24945	24986	25105
56	1.116055	0.036735	-2.940000	2.920000	-10.540000	-0.118000	-0.032000	0.220000	29706	30292	28946	24941	24984	25110
57	1.116120	0.000066	-3.040000	2.870000	-10.540000	-0.118000	-0.032000	0.220000	29696	30287	28946	24941	24984	25110
58	1.146162	0.030042	-3.040000	2.870000	-10.540000	-0.118000	-0.028000	0.218000	29696	30287	28946	24941	24986	25109
59	1.146223	0.000061	-3.170000	2.910000	-10.580000	-0.118000	-0.028000	0.218000	29683	30291	28942	24941	24986	25109
60	1.175627	0.029404	-3.170000	2.910000	-10.580000	-0.112000	-0.024000	0.216000	29683	30291	28942	24944	24988	25108
61	1.175723	0.000096	-3.160000	2.950000	-10.580000	-0.112000	-0.024000	0.216000	29684	30295	28942	24944	24988	25108
