sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.850000	-1.910000	1.600000	0.000000	0.000000	0.000000	30085	29809	30160	0	0	0
2	0.180126	0.180126	0.850000	-1.910000	1.600000	0.150000	-0.014000	0.036000	30085	29809	30160	25075	24993	25018
3	0.180194	0.000068	0.750000	-1.900000	1.620000	0.150000	-0.014000	0.036000	30075	29810	30162	25075	24993	25018
4	0.208526	0.028332	0.750000	-1.900000	1.620000	0.146000	-0.008000	0.030000	30075	29810	30162	25073	24996	25015
5	0.208596	0.000070	0.740000	-1.810000	1.530000	0.146000	-0.008000	0.030000	30074	29819	30153	25073	24996	25015
6	0.238698	0.030102	0.740000	-1.810000	1.530000	0.144000	-0.004000	0.022000	30074	29819	30153	25072	24998	25011
7	0.238767	0.000069	0.660000	-1.870000	1.520000	0.144000	-0.004000	0.022000	30066	29813	30152	25072	24998	25011
8	0.269732	0.030965	0.660000	-1.870000	1.520000	0.144000	-0.010000	0.024000	30066	29813	30152	25072	24995	25012
9	0.269840	0.000108	0.730000	-1.780000	1.520000	0.144000	-0.010000	0.024000	30073	29822	30152	25072	24995	25012
10	0.308192	0.038353	0.730000	-1.780000	1.520000	0.150000	-0.014000	0.028000	30073	29822	30152	25075	24993	25014
11	0.308272	0.000079	1.070000	-1.810000	1.610000	0.150000	-0.014000	0.028000	30107	29819	30161	25075	24993	25014
12	0.335062	0.026790	1.070000	-1.810000	1.610000	0.156000	-0.022000	0.022000	30107	29819	30161	25078	24989	25011
13	0.335125	0.000063	0.900000	-1.840000	1.610000	0.156000	-0.022000	0.022000	30090	29816	30161	25078	24989	25011
14	0.363377	0.028252	0.900000	-1.840000	1.610000	0.154000	-0.020000	0.028000	30090	29816	30161	25077	24990	25014
15	0.363431	0.000054	0.860000	-1.840000	1.620000	0.154000	-0.020000	0.028000	30086	29816	30162	25077	24990	25014
