sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-0.130000	-0.140000	-0.160000	0.000000	0.000000	0.000000	29987	29986	29984	0	0	0
2	0.179457	0.179457	-0.130000	-0.140000	-0.160000	-0.006000	-0.016000	-0.008000	29987	29986	29984	24997	24992	24996
3	0.179550	0.000093	-0.220000	-0.330000	-0.110000	-0.006000	-0.016000	-0.008000	29978	29967	29989	24997	24992	24996
4	0.215048	0.035498	-0.220000	-0.330000	-0.110000	-0.010000	-0.018000	-0.008000	29978	29967	29989	24995	24991	24996
5	0.215138	0.000090	0.000000	-0.380000	-0.210000	-0.010000	-0.018000	-0.008000	30000	29962	29979	24995	24991	24996
6	0.261981	0.046843	0.000000	-0.380000	-0.210000	-0.010000	-0.024000	-0.002000	30000	29962	29979	24995	24988	24999
7	0.262107	0.000126	-0.020000	-0.290000	-0.160000	-0.010000	-0.024000	-0.002000	29998	29971	29984	24995	24988	24999
8	0.296062	0.033955	-0.020000	-0.290000	-0.160000	-0.010000	-0.020000	-0.006000	29998	29971	29984	24995	24990	24997
9	0.296147	0.000085	-0.200000	-0.240000	-0.110000	-0.010000	-0.020000	-0.006000	29980	29976	29989	24995	24990	24997
10	0.331674	0.035527	-0.200000	-0.240000	-0.110000	-0.004000	-0.010000	-0.014000	29980	29976	29989	24998	24995	24993
11	0.331787	0.000113	-0.130000	-0.050000	-0.250000	-0.004000	-0.010000	-0.014000	29987	29995	29975	24998	24995	24993
12	0.364802	0.033016	-0.130000	-0.050000	-0.250000	-0.002000	-0.008000	-0.014000	29987	29995	29975	24999	24996	24993
13	0.364868	0.000065	-0.050000	-0.270000	-0.210000	-0.002000	-0.008000	-0.014000	29995	29973	29979	24999	24996	24993
14	0.395639	0.030772	-0.050000	-0.270000	-0.210000	-0.010000	-0.018000	0.002000	29995	29973	29979	24995	24991	25001
15	0.395724	0.000084	-0.110000	-0.140000	-0.160000	-0.010000	-0.018000	0.002000	29989	29986	29984	24995	24991	25001
