sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.470000	-1.240000	-5.540000	0.000000	0.000000	0.000000	30047	29876	29446	0	0	0
2	0.137922	0.137922	0.470000	-1.240000	-5.540000	0.008000	0.020000	0.022000	30047	29876	29446	25004	25010	25011
3	0.138010	0.000088	0.390000	-1.210000	-5.280000	0.008000	0.020000	0.022000	30039	29879	29472	25004	25010	25011
4	0.180342	0.042332	0.390000	-1.210000	-5.280000	-0.002000	0.014000	0.026000	30039	29879	29472	24999	25007	25013
5	0.180436	0.000094	0.300000	-1.310000	-5.290000	-0.002000	0.014000	0.026000	30030	29869	29471	24999	25007	25013
6	0.214830	0.034394	0.300000	-1.310000	-5.290000	0.006000	0.006000	0.022000	30030	29869	29471	25003	25003	25011
7	0.214936	0.000106	0.280000	-1.490000	-5.280000	0.006000	0.006000	0.022000	30028	29851	29472	25003	25003	25011
8	0.247764	0.032828	0.280000	-1.490000	-5.280000	0.022000	0.004000	0.022000	30028	29851	29472	25011	25002	25011
9	0.247842	0.000078	0.360000	-1.510000	-5.540000	0.022000	0.004000	0.022000	30036	29849	29446	25011	25002	25011
10	0.283372	0.035530	0.360000	-1.510000	-5.540000	0.032000	0.010000	0.020000	30036	29849	29446	25016	25005	25010
11	0.283518	0.000146	0.240000	-1.610000	-5.540000	0.032000	0.010000	0.020000	30024	29839	29446	25016	25005	25010
12	0.321588	0.038070	0.240000	-1.610000	-5.540000	0.044000	0.002000	0.028000	30024	29839	29446	25022	25001	25014
13	0.321711	0.000123	0.260000	-2.140000	-5.500000	0.044000	0.002000	0.028000	30026	29786	29450	25022	25001	25014
14	0.348585	0.026874	0.260000	-2.140000	-5.500000	0.096000	0.010000	0.042000	30026	29786	29450	25048	25005	25021
15	0.348692	0.000107	0.090000	-2.090000	-5.250000	0.096000	0.010000	0.042000	30009	29791	29475	25048	25005	25021
16	0.384966	0.036274	0.090000	-2.090000	-5.250000	0.072000	-0.004000	0.046000	30009	29791	29475	25036	24998	25023
17	0.385084	0.000118	0.390000	-1.940000	-5.250000	0.072000	-0.004000	0.046000	30039	29806	29475	25036	24998	25023
18	0.412517	0.027433	0.390000	-1.940000	-5.250000	0.050000	0.012000	0.044000	30039	29806	29475	25025	25006	25022
19	0.412587	0.000070	0.480000	-1.340000	-5.340000	0.050000	0.012000	0.044000	30048	29866	29466	25025	25006	25022
20	0.443040	0.030453	0.480000	-1.340000	-5.340000	-0.008000	0.028000	0.022000	30048	29866	29466	24996	25014	25011
21	0.443103	0.000063	0.500000	-1.340000	-6.140000	-0.008000	0.028000	0.022000	30050	29866	29386	24996	25014	25011
22	0.471231	0.028127	0.500000	-1.340000	-6.140000	0.012000	0.038000	0.020000	30050	29866	29386	25006	25019	25010
23	0.471288	0.000057	0.080000	-1.510000	-6.130000	0.012000	0.038000	0.020000	30008	29849	29387	25006	25019	25010
24	0.502760	0.031473	0.080000	-1.510000	-6.130000	0.042000	0.014000	0.018000	30008	29849	29387	25021	25007	25009
25	0.502877	0.000116	0.050000	-1.320000	-6.090000	0.042000	0.014000	0.018000	30005	29868	29391	25021	25007	25009
