sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-0.550000	-0.110000	-0.020000	0.000000	0.000000	0.000000	29945	29989	29998	0	0	0
2	0.129622	0.129622	-0.550000	-0.110000	-0.020000	0.026000	-0.032000	0.004000	29945	29989	29998	25013	24984	25002
3	0.129796	0.000174	-0.670000	-0.280000	-0.040000	0.026000	-0.032000	0.004000	29933	29972	29996	25013	24984	25002
4	0.168808	0.039012	-0.670000	-0.280000	-0.040000	0.038000	-0.044000	-0.002000	29933	29972	29996	25019	24978	24999
5	0.168951	0.000144	-0.110000	-0.070000	-0.030000	0.038000	-0.044000	-0.002000	29989	29993	29997	25019	24978	24999
6	0.200309	0.031357	-0.110000	-0.070000	-0.030000	-0.002000	-0.016000	-0.010000	29989	29993	29997	24999	24992	24995
7	0.200378	0.000069	-0.130000	-0.060000	-0.300000	-0.002000	-0.016000	-0.010000	29987	29994	29970	24999	24992	24995
8	0.232029	0.031651	-0.130000	-0.060000	-0.300000	-0.004000	-0.018000	-0.010000	29987	29994	29970	24998	24991	24995
9	0.232105	0.000076	0.150000	0.210000	-0.280000	-0.004000	-0.018000	-0.010000	30015	30021	29972	24998	24991	24995
10	0.265044	0.032938	0.150000	0.210000	-0.280000	-0.014000	0.014000	-0.002000	30015	30021	29972	24993	25007	24999
11	0.265115	0.000071	0.160000	-0.060000	-0.270000	-0.014000	0.014000	-0.002000	30016	29994	29973	24993	25007	24999
12	0.294979	0.029864	0.160000	-0.060000	-0.270000	0.010000	0.010000	0.004000	30016	29994	29973	25005	25005	25002
13	0.295098	0.000120	0.180000	-0.080000	0.000000	0.010000	0.010000	0.004000	30018	29992	30000	25005	25005	25002
14	0.327479	0.032380	0.180000	-0.080000	0.000000	0.010000	0.012000	0.004000	30018	29992	30000	25005	25006	25002
15	0.327612	0.000133	-0.110000	-0.090000	0.000000	0.010000	0.012000	0.004000	29989	29991	30000	25005	25006	25002
16	0.356961	0.029349	-0.110000	-0.090000	0.000000	0.010000	-0.006000	-0.002000	29989	29991	30000	25005	24997	24999
17	0.357027	0.000066	-0.180000	-0.260000	-0.020000	0.010000	-0.006000	-0.002000	29982	29974	29998	25005	24997	24999
18	0.389417	0.032390	-0.180000	-0.260000	-0.020000	0.028000	-0.012000	0.000000	29982	29974	29998	25014	24994	25000
19	0.389542	0.000125	-0.190000	-0.410000	-0.010000	0.028000	-0.012000	0.000000	29981	29959	29999	25014	24994	25000
20	0.419511	0.029969	-0.190000	-0.410000	-0.010000	0.042000	-0.012000	0.004000	29981	29959	29999	25021	24994	25002
21	0.419582	0.000070	0.090000	-0.400000	-0.010000	0.042000	-0.012000	0.004000	30009	29960	29999	25021	24994	25002
22	0.450217	0.030635	0.090000	-0.400000	-0.010000	0.042000	0.004000	0.008000	30009	29960	29999	25021	25002	25004
