sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	2.540000	-0.560000	-62.830000	0.000000	0.000000	0.000000	30254	29944	23717	0	0	0
2	0.173303	0.173303	2.540000	-0.560000	-62.830000	0.122000	0.132000	-0.056000	30254	29944	23717	25061	25066	24972
3	0.173459	0.000155	2.160000	-0.820000	-62.720000	0.122000	0.132000	-0.056000	30216	29918	23728	25061	25066	24972
4	0.210286	0.036827	2.160000	-0.820000	-62.720000	0.136000	0.090000	-0.052000	30216	29918	23728	25068	25045	24974
5	0.210389	0.000103	2.240000	-0.770000	-62.760000	0.136000	0.090000	-0.052000	30224	29923	23724	25068	25045	24974
6	0.257582	0.047193	2.240000	-0.770000	-62.760000	0.134000	0.094000	-0.056000	30224	29923	23724	25067	25047	24972
7	0.257744	0.000163	2.430000	-0.660000	-63.160000	0.134000	0.094000	-0.056000	30243	29934	23684	25067	25047	24972
8	0.291404	0.033660	2.430000	-0.660000	-63.160000	0.132000	0.118000	-0.062000	30243	29934	23684	25066	25059	24969
9	0.291521	0.000117	2.360000	-0.540000	-62.750000	0.132000	0.118000	-0.062000	30236	29946	23725	25066	25059	24969
10	0.327970	0.036449	2.360000	-0.540000	-62.750000	0.118000	0.116000	-0.058000	30236	29946	23725	25059	25058	24971
11	0.328065	0.000095	2.280000	-0.870000	-63.030000	0.118000	0.116000	-0.058000	30228	29913	23697	25059	25058	24971
12	0.365111	0.037046	2.280000	-0.870000	-63.030000	0.138000	0.102000	-0.048000	30228	29913	23697	25069	25051	24976
13	0.365236	0.000125	2.470000	-0.750000	-62.820000	0.138000	0.102000	-0.048000	30247	29925	23718	25069	25051	24976
14	0.403783	0.038547	2.470000	-0.750000	-62.820000	0.126000	0.118000	-0.058000	30247	29925	23718	25063	25059	24971
15	0.403900	0.000117	2.380000	-0.530000	-62.670000	0.126000	0.118000	-0.058000	30238	29947	23733	25063	25059	24971
16	0.442079	0.038179	2.380000	-0.530000	-62.670000	0.104000	0.110000	-0.056000	30238	29947	23733	25052	25055	24972
17	0.442200	0.000121	2.530000	-0.380000	-63.170000	0.104000	0.110000	-0.056000	30253	29962	23683	25052	25055	24972
18	0.476871	0.034671	2.530000	-0.380000	-63.170000	0.100000	0.120000	-0.052000	30253	29962	23683	25050	25060	24974
19	0.476977	0.000106	2.470000	-0.680000	-63.160000	0.100000	0.120000	-0.052000	30247	29932	23684	25050	25060	24974
20	0.524559	0.047582	2.470000	-0.680000	-63.160000	0.118000	0.108000	-0.060000	30247	29932	23684	25059	25054	24970
21	0.524689	0.000130	2.380000	-0.770000	-62.640000	0.118000	0.108000	-0.060000	30238	29923	23736	25059	25054	24970
22	0.562068	0.037379	2.380000	-0.770000	-62.640000	0.146000	0.116000	-0.052000	30238	29923	23736	25073	25058	24974
23	0.562156	0.000088	2.560000	-0.570000	-62.840000	0.146000	0.116000	-0.052000	30256	29943	23716	25073	25058	24974
24	0.598765	0.036609	2.560000	-0.570000	-62.840000	0.114000	0.124000	-0.058000	30256	29943	23716	25057	25062	24971
25	0.598873	0.000108	2.330000	-0.610000	-63.360000	0.114000	0.124000	-0.058000	30233	29939	23664	25057	25062	24971
26	0.638030	0.039157	2.330000	-0.610000	-63.360000	0.140000	0.116000	-0.056000	30233	29939	23664	25070	25058	24972
27	0.638105	0.000075	2.550000	-0.760000	-63.300000	0.140000	0.116000	-0.056000	30255	29924	23670	25070	25058	24972
28	0.678961	0.040855	2.550000	-0.760000	-63.300000	0.148000	0.124000	-0.060000	30255	29924	23670	25074	25062	24970
29	0.679044	0.000084	2.280000	-0.820000	-62.960000	0.148000	0.124000	-0.060000	30228	29918	23704	25074	25062	24970
30	0.716385	0.037340	2.280000	-0.820000	-62.960000	0.134000	0.094000	-0.044000	30228	29918	23704	25067	25047	24978
31	0.716463	0.000078	2.550000	-0.770000	-62.900000	0.134000	0.094000	-0.044000	30255	29923	23710	25067	25047	24978
32	0.752502	0.036039	2.550000	-0.770000	-62.900000	0.142000	0.132000	-0.058000	30255	29923	23710	25071	25066	24971
33	0.752617	0.000115	2.220000	-0.550000	-62.870000	0.142000	0.132000	-0.058000	30222	29945	23713	25071	25066	24971
34	0.782015	0.029398	2.220000	-0.550000	-62.870000	0.104000	0.096000	-0.048000	30222	29945	23713	25052	25048	24976
35	0.782152	0.000137	2.490000	-0.590000	-63.120000	0.104000	0.096000	-0.048000	30249	29941	23688	25052	25048	24976
36	0.812187	0.030035	2.490000	-0.590000	-63.120000	0.134000	0.124000	-0.054000	30249	29941	23688	25067	25062	24973
37	0.812315	0.000129	2.130000	-0.500000	-62.780000	0.134000	0.124000	-0.054000	30213	29950	23722	25067	25062	24973
38	0.853949	0.041634	2.130000	-0.500000	-62.780000	0.094000	0.092000	-0.048000	30213	29950	23722	25047	25046	24976
39	0.854118	0.000169	2.410000	-0.830000	-62.800000	0.094000	0.092000	-0.048000	30241	29917	23720	25047	25046	24976
40	0.889735	0.035617	2.410000	-0.830000	-62.800000	0.132000	0.114000	-0.064000	30241	29917	23720	25066	25057	24968
41	0.889814	0.000079	2.680000	-0.640000	-63.020000	0.132000	0.114000	-0.064000	30268	29936	23698	25066	25057	24968
42	0.922519	0.032705	2.680000	-0.640000	-63.020000	0.126000	0.138000	-0.056000	30268	29936	23698	25063	25069	24972
43	0.922590	0.000071	2.390000	-0.800000	-62.880000	0.126000	0.138000	-0.056000	30239	29920	23712	25063	25069	24972
44	0.952164	0.029575	2.390000	-0.800000	-62.880000	0.158000	0.118000	-0.056000	30239	29920	23712	25079	25059	24972
45	0.952263	0.000098	2.570000	-0.380000	-62.850000	0.158000	0.118000	-0.056000	30257	29962	23715	25079	25059	24972
46	0.985909	0.033647	2.570000	-0.380000	-62.850000	0.110000	0.118000	-0.062000	30257	29962	23715	25055	25059	24969
47	0.985979	0.000069	2.490000	-0.790000	-62.990000	0.110000	0.118000	-0.062000	30249	29921	23701	25055	25059	24969
48	1.016628	0.030649	2.490000	-0.790000	-62.990000	0.124000	0.110000	-0.054000	30249	29921	23701	25062	25055	24973
49	1.016746	0.000118	2.310000	-0.600000	-62.830000	0.124000	0.110000	-0.054000	30231	29940	23717	25062	25055	24973
50	1.050523	0.033778	2.310000	-0.600000	-62.830000	0.114000	0.104000	-0.054000	30231	29940	23717	25057	25052	24973
51	1.050633	0.000109	2.560000	-0.640000	-63.070000	0.114000	0.104000	-0.054000	30256	29936	23693	25057	25052	24973
52	1.083655	0.033022	2.560000	-0.640000	-63.070000	0.130000	0.126000	-0.064000	30256	29936	23693	25065	25063	24968
53	1.083774	0.000119	2.630000	-0.430000	-63.020000	0.130000	0.126000	-0.064000	30263	29957	23698	25065	25063	24968
54	1.111286	0.027513	2.630000	-0.430000	-63.020000	0.096000	0.132000	-0.056000	30263	29957	23698	25048	25066	24972
55	1.111355	0.000069	2.860000	-0.630000	-62.590000	0.096000	0.132000	-0.056000	30286	29937	23741	25048	25066	24972
56	1.141426	0.030071	2.860000	-0.630000	-62.590000	0.100000	0.146000	-0.048000	30286	29937	23741	25050	25073	24976
57	1.141501	0.000074	2.620000	-0.700000	-63.270000	0.100000	0.146000	-0.048000	30262	29930	23673	25050	25073	24976
58	1.170147	0.028646	2.620000	-0.700000	-63.270000	0.130000	0.130000	-0.060000	30262	29930	23673	25065	25065	24970
59	1.170258	0.000111	2.730000	-0.520000	-63.130000	0.130000	0.130000	-0.060000	30273	29948	23687	25065	25065	24970
60	1.204205	0.033947	2.730000	-0.520000	-63.130000	0.116000	0.138000	-0.056000	30273	29948	23687	25058	25069	24972
61	1.204281	0.000076	2.200000	-0.730000	-63.090000	0.116000	0.138000	-0.056000	30220	29927	23691	25058	25069	24972
62	1.232266	0.027985	2.200000	-0.730000	-63.090000	0.134000	0.100000	-0.054000	30220	29927	23691	25067	25050	24973
63	1.232350	0.000084	2.380000	-0.850000	-62.490000	0.134000	0.100000	-0.054000	30238	29915	23751	25067	25050	24973
64	1.260046	0.027696	2.380000	-0.850000	-62.490000	0.144000	0.104000	-0.052000	30238	29915	23751	25072	25052	24974
65	1.260119	0.000074	2.570000	-0.770000	-63.190000	0.144000	0.104000	-0.052000	30257	29923	23681	25072	25052	24974
66	1.290182	0.030062	2.570000	-0.770000	-63.190000	0.144000	0.128000	-0.060000	30257	29923	23681	25072	25064	24970
67	1.290268	0.000086	2.540000	-0.680000	-63.380000	0.144000	0.128000	-0.060000	30254	29932	23662	25072	25064	24970
68	1.322109	0.031841	2.540000	-0.680000	-63.380000	0.136000	0.126000	-0.062000	30254	29932	23662	25068	25063	24969
69	1.322183	0.000074	2.500000	-0.520000	-63.000000	0.136000	0.126000	-0.062000	30250	29948	23700	25068	25063	24969
70	1.350971	0.028788	2.500000	-0.520000	-63.000000	0.110000	0.124000	-0.056000	30250	29948	23700	25055	25062	24972
71	1.351049	0.000079	2.120000	-0.820000	-63.180000	0.110000	0.124000	-0.056000	30212	29918	23682	25055	25062	24972
72	1.385152	0.034103	2.120000	-0.820000	-63.180000	0.136000	0.094000	-0.050000	30212	29918	23682	25068	25047	24975
73	1.385226	0.000073	2.410000	-0.890000	-62.430000	0.136000	0.094000	-0.050000	30241	29911	23757	25068	25047	24975
74	1.410909	0.025683	2.410000	-0.890000	-62.430000	0.150000	0.112000	-0.058000	30241	29911	23757	25075	25056	24971
75	1.410988	0.000080	2.480000	-0.780000	-62.720000	0.150000	0.112000	-0.058000	30248	29922	23728	25075	25056	24971
76	1.438737	0.027749	2.480000	-0.780000	-62.720000	0.136000	0.118000	-0.060000	30248	29922	23728	25068	25059	24970
77	1.438826	0.000089	2.360000	-0.650000	-62.750000	0.136000	0.118000	-0.060000	30236	29935	23725	25068	25059	24970
78	1.465427	0.026601	2.360000	-0.650000	-62.750000	0.128000	0.124000	-0.058000	30236	29935	23725	25064	25062	24971
79	1.465502	0.000075	2.330000	-0.800000	-63.250000	0.128000	0.124000	-0.058000	30233	29920	23675	25064	25062	24971
80	1.493373	0.027871	2.330000	-0.800000	-63.250000	0.128000	0.112000	-0.056000	30233	29920	23675	25064	25056	24972
81	1.493518	0.000145	2.630000	-0.770000	-62.630000	0.128000	0.112000	-0.056000	30263	29923	23737	25064	25056	24972
82	1.526961	0.033443	2.630000	-0.770000	-62.630000	0.140000	0.134000	-0.048000	30263	29923	23737	25070	25067	24976
83	1.527086	0.000125	2.470000	-0.500000	-62.980000	0.140000	0.134000	-0.048000	30247	29950	23702	25070	25067	24976
84	1.562147	0.035062	2.470000	-0.500000	-62.980000	0.104000	0.122000	-0.058000	30247	29950	23702	25052	25061	24971
85	1.562224	0.000076	2.340000	-0.970000	-63.200000	0.104000	0.122000	-0.058000	30234	29903	23680	25052	25061	24971
86	1.589275	0.027051	2.340000	-0.970000	-63.200000	0.144000	0.104000	-0.048000	30234	29903	23680	25072	25052	24976
87	1.589363	0.000088	2.500000	-0.780000	-63.140000	0.144000	0.104000	-0.048000	30250	29922	23686	25072	25052	24976
88	1.618080	0.028717	2.500000	-0.780000	-63.140000	0.142000	0.122000	-0.054000	30250	29922	23686	25071	25061	24973
89	1.618170	0.000091	2.570000	-0.840000	-63.090000	0.142000	0.122000	-0.054000	30257	29916	23691	25071	25061	24973
90	1.645656	0.027486	2.570000	-0.840000	-63.090000	0.150000	0.122000	-0.054000	30257	29916	23691	25075	25061	24973
91	1.645816	0.000160	2.360000	-0.750000	-62.740000	0.150000	0.122000	-0.054000	30236	29925	23726	25075	25061	24973
92	1.674439	0.028623	2.360000	-0.750000	-62.740000	0.128000	0.114000	-0.048000	30236	29925	23726	25064	25057	24976
93	1.674523	0.000085	2.200000	-0.940000	-63.050000	0.128000	0.114000	-0.048000	30220	29906	23695	25064	25057	24976
94	1.704861	0.030338	2.200000	-0.940000	-63.050000	0.140000	0.100000	-0.058000	30220	29906	23695	25070	25050	24971
95	1.704955	0.000094	2.530000	-0.680000	-62.880000	0.140000	0.100000	-0.058000	30253	29932	23712	25070	25050	24971
96	1.737379	0.032423	2.530000	-0.680000	-62.880000	0.132000	0.122000	-0.046000	30253	29932	23712	25066	25061	24977
97	1.737462	0.000083	2.730000	-0.620000	-63.210000	0.132000	0.122000	-0.046000	30273	29938	23679	25066	25061	24977
98	1.770011	0.032549	2.730000	-0.620000	-63.210000	0.142000	0.148000	-0.062000	30273	29938	23679	25071	25074	24969
99	1.770106	0.000095	2.410000	-0.830000	-63.160000	0.142000	0.148000	-0.062000	30241	29917	23684	25071	25074	24969
100	1.798018	0.027912	2.410000	-0.830000	-63.160000	0.134000	0.120000	-0.060000	30241	29917	23684	25067	25060	24970
101	1.798112	0.000094	2.310000	-0.430000	-61.430000	0.134000	0.120000	-0.060000	30231	29957	23857	25067	25060	24970
102	1.826053	0.027941	2.310000	-0.430000	-61.430000	0.110000	0.108000	-0.058000	30231	29957	23857	25055	25054	24971
103	1.826152	0.000098	2.730000	-0.510000	-60.800000	0.110000	0.108000	-0.058000	30273	29949	23920	25055	25054	24971
104	1.854467	0.028316	2.730000	-0.510000	-60.800000	0.124000	0.136000	-0.056000	30273	29949	23920	25062	25068	24972
105	1.854576	0.000109	2.060000	-0.560000	-61.010000	0.124000	0.136000	-0.056000	30206	29944	23899	25062	25068	24972
106	1.880893	0.026317	2.060000	-0.560000	-61.010000	0.134000	0.092000	-0.052000	30206	29944	23899	25067	25046	24974
107	1.880979	0.000086	2.370000	-0.330000	-61.160000	0.134000	0.092000	-0.052000	30237	29967	23884	25067	25046	24974
108	1.907106	0.026127	2.370000	-0.330000	-61.160000	0.112000	0.110000	-0.054000	30237	29967	23884	25056	25055	24973
109	1.907201	0.000095	2.420000	-0.380000	-60.790000	0.112000	0.110000	-0.054000	30242	29962	23921	25056	25055	24973
110	1.943261	0.036061	2.420000	-0.380000	-60.790000	0.116000	0.110000	-0.054000	30242	29962	23921	25058	25055	24973
111	1.943359	0.000098	2.340000	-0.460000	-60.970000	0.116000	0.110000	-0.054000	30234	29954	23903	25058	25055	24973
112	1.972205	0.028846	2.340000	-0.460000	-60.970000	0.118000	0.096000	-0.054000	30234	29954	23903	25059	25048	24973
113	1.972322	0.000118	2.460000	-0.580000	-60.690000	0.118000	0.096000	-0.054000	30246	29942	23931	25059	25048	24973
114	1.997913	0.025590	2.460000	-0.580000	-60.690000	0.132000	0.108000	-0.056000	30246	29942	23931	25066	25054	24972
115	1.998014	0.000101	2.290000	-0.450000	-61.230000	0.132000	0.108000	-0.056000	30229	29955	23877	25066	25054	24972
116	2.025584	0.027570	2.290000	-0.450000	-61.230000	0.130000	0.104000	-0.052000	30229	29955	23877	25065	25052	24974
117	2.025661	0.000077	2.470000	-0.370000	-61.030000	0.130000	0.104000	-0.052000	30247	29963	23897	25065	25052	24974
118	2.056501	0.030840	2.470000	-0.370000	-61.030000	0.100000	0.114000	-0.052000	30247	29963	23897	25050	25057	24974
119	2.056589	0.000088	2.450000	-0.230000	-60.970000	0.100000	0.114000	-0.052000	30245	29977	23903	25050	25057	24974
120	2.087392	0.030803	2.450000	-0.230000	-60.970000	0.098000	0.110000	-0.066000	30245	29977	23903	25049	25055	24967
121	2.087478	0.000086	2.280000	-0.650000	-60.920000	0.098000	0.110000	-0.066000	30228	29935	23908	25049	25055	24967
122	2.114559	0.027082	2.280000	-0.650000	-60.920000	0.134000	0.088000	-0.054000	30228	29935	23908	25067	25044	24973
123	2.114630	0.000070	2.410000	-0.390000	-60.740000	0.134000	0.088000	-0.054000	30241	29961	23926	25067	25044	24973
124	2.144126	0.029496	2.410000	-0.390000	-60.740000	0.098000	0.102000	-0.050000	30241	29961	23926	25049	25051	24975
125	2.144277	0.000151	2.310000	-0.480000	-61.080000	0.098000	0.102000	-0.050000	30231	29952	23892	25049	25051	24975
126	2.175642	0.031365	2.310000	-0.480000	-61.080000	0.120000	0.098000	-0.052000	30231	29952	23892	25060	25049	24974
127	2.175732	0.000090	2.470000	-0.420000	-60.780000	0.120000	0.098000	-0.052000	30247	29958	23922	25060	25049	24974
128	2.202900	0.027168	2.470000	-0.420000	-60.780000	0.108000	0.104000	-0.058000	30247	29958	23922	25054	25052	24971
129	2.202986	0.000086	2.570000	-0.230000	-61.170000	0.108000	0.104000	-0.058000	30257	29977	23883	25054	25052	24971
130	2.231291	0.028305	2.570000	-0.230000	-61.170000	0.094000	0.118000	-0.054000	30257	29977	23883	25047	25059	24973
131	2.231375	0.000084	2.480000	-0.420000	-60.760000	0.094000	0.118000	-0.054000	30248	29958	23924	25047	25059	24973
132	2.257554	0.026179	2.480000	-0.420000	-60.760000	0.112000	0.112000	-0.062000	30248	29958	23924	25056	25056	24969
133	2.257647	0.000094	2.380000	-0.450000	-61.300000	0.112000	0.112000	-0.062000	30238	29955	23870	25056	25056	24969
134	2.285359	0.027712	2.380000	-0.450000	-61.300000	0.130000	0.104000	-0.054000	30238	29955	23870	25065	25052	24973
135	2.285452	0.000093	2.520000	-0.450000	-60.910000	0.130000	0.104000	-0.054000	30252	29955	23909	25065	25052	24973
136	2.312207	0.026755	2.520000	-0.450000	-60.910000	0.124000	0.114000	-0.060000	30252	29955	23909	25062	25057	24970
137	2.312320	0.000113	2.280000	-0.390000	-60.470000	0.124000	0.114000	-0.060000	30228	29961	23953	25062	25057	24970
138	2.344841	0.032521	2.280000	-0.390000	-60.470000	0.104000	0.096000	-0.054000	30228	29961	23953	25052	25048	24973
139	2.344932	0.000091	2.180000	-0.650000	-60.970000	0.104000	0.096000	-0.054000	30218	29935	23903	25052	25048	24973
140	2.376775	0.031843	2.180000	-0.650000	-60.970000	0.142000	0.094000	-0.054000	30218	29935	23903	25071	25047	24973
141	2.376855	0.000081	2.230000	-0.360000	-61.010000	0.142000	0.094000	-0.054000	30223	29964	23899	25071	25047	24973
142	2.408965	0.032110	2.230000	-0.360000	-61.010000	0.110000	0.102000	-0.052000	30223	29964	23899	25055	25051	24974
143	2.409091	0.000126	2.780000	-0.300000	-61.070000	0.110000	0.102000	-0.052000	30278	29970	23893	25055	25051	24974
144	2.442406	0.033315	2.780000	-0.300000	-61.070000	0.098000	0.132000	-0.050000	30278	29970	23893	25049	25066	24975
145	2.442498	0.000092	2.590000	-0.150000	-61.080000	0.098000	0.132000	-0.050000	30259	29985	23892	25049	25066	24975
146	2.470913	0.028415	2.590000	-0.150000	-61.080000	0.078000	0.120000	-0.054000	30259	29985	23892	25039	25060	24973
147	2.471006	0.000093	2.360000	-0.340000	-61.270000	0.078000	0.120000	-0.054000	30236	29966	23873	25039	25060	24973
148	2.505187	0.034181	2.360000	-0.340000	-61.270000	0.108000	0.102000	-0.056000	30236	29966	23873	25054	25051	24972
149	2.505278	0.000092	2.320000	-0.480000	-60.450000	0.108000	0.102000	-0.056000	30232	29952	23955	25054	25051	24972
150	2.538188	0.032910	2.320000	-0.480000	-60.450000	0.118000	0.104000	-0.054000	30232	29952	23955	25059	25052	24973
151	2.538306	0.000118	2.480000	-0.300000	-60.750000	0.118000	0.104000	-0.054000	30248	29970	23925	25059	25052	24973
152	2.572093	0.033787	2.480000	-0.300000	-60.750000	0.102000	0.116000	-0.060000	30248	29970	23925	25051	25058	24970
153	2.572192	0.000100	2.180000	-0.470000	-60.790000	0.102000	0.116000	-0.060000	30218	29953	23921	25051	25058	24970
154	2.598838	0.026645	2.180000	-0.470000	-60.790000	0.112000	0.090000	-0.060000	30218	29953	23921	25056	25045	24970
155	2.598929	0.000091	2.620000	-0.170000	-60.720000	0.112000	0.090000	-0.060000	30262	29983	23928	25056	25045	24970
156	2.625107	0.026178	2.620000	-0.170000	-60.720000	0.090000	0.120000	-0.060000	30262	29983	23928	25045	25060	24970
157	2.625183	0.000076	2.410000	-0.300000	-61.220000	0.090000	0.120000	-0.060000	30241	29970	23878	25045	25060	24970
158	2.654762	0.029579	2.410000	-0.300000	-61.220000	0.102000	0.106000	-0.064000	30241	29970	23878	25051	25053	24968
159	2.654854	0.000092	2.530000	-0.230000	-60.330000	0.102000	0.106000	-0.064000	30253	29977	23967	25051	25053	24968
160	2.686432	0.031578	2.530000	-0.230000	-60.330000	0.084000	0.120000	-0.056000	30253	29977	23967	25042	25060	24972
161	2.686509	0.000077	2.140000	-0.400000	-60.990000	0.084000	0.120000	-0.056000	30214	29960	23901	25042	25060	24972
162	2.717513	0.031003	2.140000	-0.400000	-60.990000	0.132000	0.100000	-0.056000	30214	29960	23901	25066	25050	24972
163	2.717600	0.000087	2.230000	-0.440000	-61.140000	0.132000	0.100000	-0.056000	30223	29956	23886	25066	25050	24972
164	2.744438	0.026839	2.230000	-0.440000	-61.140000	0.118000	0.088000	-0.058000	30223	29956	23886	25059	25044	24971
165	2.744544	0.000106	1.970000	-0.290000	-60.810000	0.118000	0.088000	-0.058000	30197	29971	23919	25059	25044	24971
166	2.780445	0.035901	1.970000	-0.290000	-60.810000	0.096000	0.082000	-0.060000	30197	29971	23919	25048	25041	24970
167	2.780551	0.000106	2.510000	-0.320000	-60.530000	0.096000	0.082000	-0.060000	30251	29968	23947	25048	25041	24970
168	2.807289	0.026738	2.510000	-0.320000	-60.530000	0.106000	0.114000	-0.058000	30251	29968	23947	25053	25057	24971
169	2.807369	0.000080	2.210000	-0.500000	-60.560000	0.106000	0.114000	-0.058000	30221	29950	23944	25053	25057	24971
170	2.838609	0.031240	2.210000	-0.500000	-60.560000	0.122000	0.096000	-0.060000	30221	29950	23944	25061	25048	24970
171	2.838718	0.000110	2.260000	-0.410000	-60.800000	0.122000	0.096000	-0.060000	30226	29959	23920	25061	25048	24970
172	2.871164	0.032446	2.260000	-0.410000	-60.800000	0.116000	0.108000	-0.056000	30226	29959	23920	25058	25054	24972
173	2.871244	0.000080	2.340000	-0.280000	-60.740000	0.116000	0.108000	-0.056000	30234	29972	23926	25058	25054	24972
174	2.902004	0.030760	2.340000	-0.280000	-60.740000	0.114000	0.116000	-0.054000	30234	29972	23926	25057	25058	24973
175	2.902097	0.000093	2.450000	-0.130000	-61.140000	0.114000	0.116000	-0.054000	30245	29987	23886	25057	25058	24973
176	2.934765	0.032668	2.450000	-0.130000	-61.140000	0.074000	0.108000	-0.056000	30245	29987	23886	25037	25054	24972
177	2.934851	0.000086	2.330000	-0.330000	-61.060000	0.074000	0.108000	-0.056000	30233	29967	23894	25037	25054	24972
178	2.967182	0.032331	2.330000	-0.330000	-61.060000	0.110000	0.106000	-0.054000	30233	29967	23894	25055	25053	24973
