sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-0.280000	0.800000	0.490000	0.000000	0.000000	0.000000	29972	30080	30049	0	0	0
2	0.144829	0.144829	-0.280000	0.800000	0.490000	-0.054000	-0.008000	0.012000	29972	30080	30049	24973	24996	25006
3	0.144985	0.000156	-0.220000	1.040000	0.470000	-0.054000	-0.008000	0.012000	29978	30104	30047	24973	24996	25006
4	0.176207	0.031222	-0.220000	1.040000	0.470000	-0.070000	0.002000	0.008000	29978	30104	30047	24965	25001	25004
5	0.176306	0.000099	-0.230000	0.950000	1.040000	-0.070000	0.002000	0.008000	29977	30095	30104	24965	25001	25004
6	0.220928	0.044621	-0.230000	0.950000	1.040000	-0.062000	0.006000	0.008000	29977	30095	30104	24969	25003	25004
7	0.221015	0.000087	-0.030000	0.590000	1.010000	-0.062000	0.006000	0.008000	29997	30059	30101	24969	25003	25004
8	0.252127	0.031112	-0.030000	0.590000	1.010000	-0.028000	0.016000	0.002000	29997	30059	30101	24986	25008	25001
9	0.252223	0.000096	-0.090000	0.350000	1.030000	-0.028000	0.016000	0.002000	29991	30035	30103	24986	25008	25001
10	0.283450	0.031227	-0.090000	0.350000	1.030000	-0.012000	0.004000	0.006000	29991	30035	30103	24994	25002	25003
11	0.283577	0.000127	0.360000	0.480000	1.300000	-0.012000	0.004000	0.006000	30036	30048	30130	24994	25002	25003
12	0.311977	0.028400	0.360000	0.480000	1.300000	-0.036000	0.028000	0.014000	30036	30048	30130	24982	25014	25007
13	0.312047	0.000071	0.440000	0.450000	1.330000	-0.036000	0.028000	0.014000	30044	30045	30133	24982	25014	25007
14	0.342595	0.030548	0.440000	0.450000	1.330000	-0.022000	0.054000	0.010000	30044	30045	30133	24989	25027	25005
15	0.342737	0.000142	0.380000	0.210000	1.350000	-0.022000	0.054000	0.010000	30038	30021	30135	24989	25027	25005
16	0.372275	0.029538	0.380000	0.210000	1.350000	-0.006000	0.042000	0.014000	30038	30021	30135	24997	25021	25007
17	0.372400	0.000125	0.100000	0.210000	1.070000	-0.006000	0.042000	0.014000	30010	30021	30107	24997	25021	25007
18	0.413796	0.041396	0.100000	0.210000	1.070000	0.004000	0.030000	0.000000	30010	30021	30107	25002	25015	25000
19	0.413934	0.000138	-0.140000	0.260000	1.030000	0.004000	0.030000	0.000000	29986	30026	30103	25002	25015	25000
20	0.447023	0.033090	-0.140000	0.260000	1.030000	-0.024000	-0.020000	0.002000	29986	30026	30103	24988	24990	25001
21	0.447113	0.000089	-0.140000	0.260000	1.030000	-0.024000	-0.020000	0.002000	29986	30026	30103	24988	24990	25001
22	0.482008	0.034895	-0.140000	0.260000	1.030000	-0.024000	-0.020000	0.002000	29986	30026	30103	24988	24990	25001
23	0.482094	0.000086	-0.390000	0.030000	1.030000	-0.024000	-0.020000	0.002000	29961	30003	30103	24988	24990	25001
24	0.513292	0.031198	-0.390000	0.030000	1.030000	0.004000	-0.028000	0.008000	29961	30003	30103	25002	24986	25004
