sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.000000	0.000000	0.000000	-1.614000	-0.252000	0.000000	0	0	0	24193	24874	25000
2	0.000041	0.000041	-1.470000	2.000000	-15.400000	-1.614000	-0.252000	0.000000	29853	30200	28460	24193	24874	25000
3	0.145880	0.145839	-1.470000	2.000000	-15.400000	-1.554000	-0.266000	-0.008000	29853	30200	28460	24223	24867	24996
4	0.145965	0.000085	-1.430000	1.920000	-15.400000	-1.554000	-0.266000	-0.008000	29857	30192	28460	24223	24867	24996
5	0.179668	0.033703	-1.430000	1.920000	-15.400000	-1.546000	-0.258000	-0.006000	29857	30192	28460	24227	24871	24997
6	0.179742	0.000074	-1.300000	1.880000	-15.380000	-1.546000	-0.258000	-0.006000	29870	30188	28462	24227	24871	24997
7	0.210185	0.030443	-1.300000	1.880000	-15.380000	-1.530000	-0.248000	-0.012000	29870	30188	28462	24235	24876	24994
8	0.210290	0.000105	-1.260000	2.350000	-16.210000	-1.530000	-0.248000	-0.012000	29874	30235	28379	24235	24876	24994
9	0.242048	0.031758	-1.260000	2.350000	-16.210000	-1.578000	-0.266000	-0.012000	29874	30235	28379	24211	24867	24994
10	0.242186	0.000138	-1.260000	2.350000	-16.210000	-1.578000	-0.266000	-0.012000	29874	30235	28379	24211	24867	24994
11	0.275989	0.033803	-1.260000	2.350000	-16.210000	-1.578000	-0.266000	-0.012000	29874	30235	28379	24211	24867	24994
12	0.276075	0.000086	-1.440000	2.430000	-16.190000	-1.578000	-0.266000	-0.012000	29856	30243	28381	24211	24867	24994
13	0.311551	0.035476	-1.440000	2.430000	-16.190000	-1.592000	-0.282000	-0.014000	29856	30243	28381	24204	24859	24993
14	0.311708	0.000156	-1.420000	1.830000	-14.860000	-1.592000	-0.282000	-0.014000	29858	30183	28514	24204	24859	24993
15	0.350018	0.038310	-1.420000	1.830000	-14.860000	-1.552000	-0.272000	-0.016000	29858	30183	28514	24224	24864	24992
16	0.350117	0.000099	-1.440000	1.870000	-14.860000	-1.552000	-0.272000	-0.016000	29856	30187	28514	24224	24864	24992
17	0.383113	0.032996	-1.440000	1.870000	-14.860000	-1.556000	-0.276000	-0.018000	29856	30187	28514	24222	24862	24991
18	0.383186	0.000073	-1.230000	1.770000	-14.890000	-1.556000	-0.276000	-0.018000	29877	30177	28511	24222	24862	24991
19	0.414112	0.030926	-1.230000	1.770000	-14.890000	-1.540000	-0.260000	-0.014000	29877	30177	28511	24230	24870	24993
20	0.414180	0.000068	-1.560000	1.360000	-15.160000	-1.540000	-0.260000	-0.014000	29844	30136	28484	24230	24870	24993
21	0.447799	0.033620	-1.560000	1.360000	-15.160000	-1.506000	-0.288000	-0.010000	29844	30136	28484	24247	24856	24995
22	0.447926	0.000127	-1.560000	1.360000	-15.160000	-1.506000	-0.288000	-0.010000	29844	30136	28484	24247	24856	24995
23	0.488483	0.040556	-1.560000	1.360000	-15.160000	-1.506000	-0.288000	-0.010000	29844	30136	28484	24247	24856	24995
24	0.488575	0.000092	-1.720000	1.430000	-15.160000	-1.506000	-0.288000	-0.010000	29828	30143	28484	24247	24856	24995
25	0.521191	0.032616	-1.720000	1.430000	-15.160000	-1.520000	-0.300000	-0.010000	29828	30143	28484	24240	24850	24995
26	0.521271	0.000080	-1.640000	2.210000	-14.590000	-1.520000	-0.300000	-0.010000	29836	30221	28541	24240	24850	24995
27	0.550726	0.029455	-1.640000	2.210000	-14.590000	-1.566000	-0.280000	0.000000	29836	30221	28541	24217	24860	25000
28	0.550861	0.000135	-1.680000	2.290000	-14.590000	-1.566000	-0.280000	0.000000	29832	30229	28541	24217	24860	25000
29	0.583631	0.032770	-1.680000	2.290000	-14.590000	-1.572000	-0.290000	-0.002000	29832	30229	28541	24214	24855	24999
30	0.583756	0.000124	-1.840000	2.360000	-14.580000	-1.572000	-0.290000	-0.002000	29816	30236	28542	24214	24855	24999
31	0.615998	0.032242	-1.840000	2.360000	-14.580000	-1.588000	-0.302000	-0.002000	29816	30236	28542	24206	24849	24999
32	0.616071	0.000073	-1.640000	2.520000	-14.850000	-1.588000	-0.302000	-0.002000	29836	30252	28515	24206	24849	24999
33	0.647329	0.031258	-1.640000	2.520000	-14.850000	-1.608000	-0.292000	-0.006000	29836	30252	28515	24196	24854	24997
34	0.647464	0.000135	-1.560000	2.680000	-14.860000	-1.608000	-0.292000	-0.006000	29844	30268	28514	24196	24854	24997
35	0.679092	0.031629	-1.560000	2.680000	-14.860000	-1.616000	-0.278000	-0.006000	29844	30268	28514	24192	24861	24997
36	0.679204	0.000112	-1.100000	2.490000	-14.850000	-1.616000	-0.278000	-0.006000	29890	30249	28515	24192	24861	24997
37	0.716458	0.037254	-1.100000	2.490000	-14.850000	-1.570000	-0.240000	-0.010000	29890	30249	28515	24215	24880	24995
38	0.716631	0.000173	-1.020000	2.590000	-15.400000	-1.570000	-0.240000	-0.010000	29898	30259	28460	24215	24880	24995
39	0.747908	0.031278	-1.020000	2.590000	-15.400000	-1.582000	-0.236000	-0.012000	29898	30259	28460	24209	24882	24994
40	0.747986	0.000078	-1.190000	1.680000	-15.350000	-1.582000	-0.236000	-0.012000	29881	30168	28465	24209	24882	24994
41	0.853482	0.105496	-1.190000	1.680000	-15.350000	-1.510000	-0.258000	-0.002000	29881	30168	28465	24245	24871	24999
42	0.853557	0.000075	-1.260000	1.700000	-15.370000	-1.510000	-0.258000	-0.002000	29874	30170	28463	24245	24871	24999
43	0.881737	0.028180	-1.260000	1.700000	-15.370000	-1.520000	-0.264000	0.002000	29874	30170	28463	24240	24868	25001
44	0.881850	0.000112	-1.280000	1.710000	-15.640000	-1.520000	-0.264000	0.002000	29872	30171	28436	24240	24868	25001
45	0.913766	0.031916	-1.280000	1.710000	-15.640000	-1.520000	-0.266000	0.002000	29872	30171	28436	24240	24867	25001
46	0.913850	0.000084	-1.210000	1.850000	-15.640000	-1.520000	-0.266000	0.002000	29879	30185	28436	24240	24867	25001
47	0.945384	0.031534	-1.210000	1.850000	-15.640000	-1.532000	-0.262000	0.004000	29879	30185	28436	24234	24869	25002
48	0.945478	0.000095	-1.260000	1.870000	-15.640000	-1.532000	-0.262000	0.004000	29874	30187	28436	24234	24869	25002
49	0.981354	0.035875	-1.260000	1.870000	-15.640000	-1.536000	-0.264000	0.006000	29874	30187	28436	24232	24868	25003
50	0.981438	0.000084	-1.890000	1.670000	-15.340000	-1.536000	-0.264000	0.006000	29811	30167	28466	24232	24868	25003
51	1.015141	0.033704	-1.890000	1.670000	-15.340000	-1.512000	-0.306000	0.010000	29811	30167	28466	24244	24847	25005
52	1.015267	0.000126	-1.900000	2.040000	-15.400000	-1.512000	-0.306000	0.010000	29810	30204	28460	24244	24847	25005
53	1.044359	0.029092	-1.900000	2.040000	-15.400000	-1.538000	-0.284000	-0.012000	29810	30204	28460	24231	24858	24994
54	1.044440	0.000081	-1.900000	2.040000	-15.400000	-1.538000	-0.284000	-0.012000	29810	30204	28460	24231	24858	24994
55	1.072597	0.028158	-1.900000	2.040000	-15.400000	-1.538000	-0.284000	-0.012000	29810	30204	28460	24231	24858	24994
56	1.072688	0.000091	-1.590000	2.220000	-14.900000	-1.538000	-0.284000	-0.012000	29841	30222	28510	24231	24858	24994
57	1.110203	0.037515	-1.590000	2.220000	-14.900000	-1.578000	-0.266000	-0.012000	29841	30222	28510	24211	24867	24994
58	1.110288	0.000085	-1.370000	2.890000	-14.860000	-1.578000	-0.266000	-0.012000	29863	30289	28514	24211	24867	24994
59	1.173726	0.063437	-1.370000	2.890000	-14.860000	-1.630000	-0.260000	0.004000	29863	30289	28514	24185	24870	25002
60	1.173795	0.000070	-1.370000	2.890000	-14.860000	-1.630000	-0.260000	0.004000	29863	30289	28514	24185	24870	25002
61	1.205375	0.031580	-1.370000	2.890000	-14.860000	-1.630000	-0.260000	0.004000	29863	30289	28514	24185	24870	25002
62	1.205471	0.000095	-1.560000	2.750000	-14.850000	-1.630000	-0.260000	0.004000	29844	30275	28515	24185	24870	25002
63	1.237866	0.032395	-1.560000	2.750000	-14.850000	-1.604000	-0.270000	0.006000	29844	30275	28515	24198	24865	25003
64	1.237935	0.000069	-1.640000	2.070000	-14.830000	-1.604000	-0.270000	0.006000	29836	30207	28517	24198	24865	25003
65	1.267329	0.029394	-1.640000	2.070000	-14.830000	-1.560000	-0.292000	0.012000	29836	30207	28517	24220	24854	25006
66	1.267409	0.000079	-1.640000	2.070000	-14.830000	-1.560000	-0.292000	0.012000	29836	30207	28517	24220	24854	25006
67	1.296548	0.029139	-1.640000	2.070000	-14.830000	-1.560000	-0.292000	0.012000	29836	30207	28517	24220	24854	25006
68	1.296626	0.000079	-1.020000	2.290000	-14.810000	-1.560000	-0.292000	0.012000	29898	30229	28519	24220	24854	25006
69	1.334615	0.037989	-1.020000	2.290000	-14.810000	-1.578000	-0.256000	-0.002000	29898	30229	28519	24211	24872	24999
70	1.334728	0.000113	-0.970000	2.340000	-15.370000	-1.578000	-0.256000	-0.002000	29903	30234	28463	24211	24872	24999
71	1.363390	0.028661	-0.970000	2.340000	-15.370000	-1.578000	-0.238000	-0.010000	29903	30234	28463	24211	24881	24995
72	1.363545	0.000156	-0.970000	2.340000	-15.370000	-1.578000	-0.238000	-0.010000	29903	30234	28463	24211	24881	24995
73	1.395566	0.032021	-0.970000	2.340000	-15.370000	-1.578000	-0.238000	-0.010000	29903	30234	28463	24211	24881	24995
74	1.395645	0.000079	-1.580000	2.010000	-15.370000	-1.578000	-0.238000	-0.010000	29842	30201	28463	24211	24881	24995
75	1.426969	0.031323	-1.580000	2.010000	-15.370000	-1.536000	-0.272000	0.002000	29842	30201	28463	24232	24864	25001
76	1.427098	0.000130	-1.430000	2.770000	-15.690000	-1.536000	-0.272000	0.002000	29857	30277	28431	24232	24864	25001
77	1.455090	0.027991	-1.430000	2.770000	-15.690000	-1.592000	-0.244000	-0.008000	29857	30277	28431	24204	24878	24996
78	1.455153	0.000063	-1.460000	2.810000	-15.690000	-1.592000	-0.244000	-0.008000	29854	30281	28431	24204	24878	24996
79	1.483064	0.027911	-1.460000	2.810000	-15.690000	-1.596000	-0.248000	-0.010000	29854	30281	28431	24202	24876	24995
