sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002000	0.006000	-0.008000	0	0	0	24999	25003	24996
2	0.000040	0.000040	0.250000	-0.250000	0.010000	-0.002000	0.006000	-0.008000	30025	29975	30001	24999	25003	24996
3	0.123596	0.123556	0.250000	-0.250000	0.010000	0.006000	0.010000	-0.010000	30025	29975	30001	25003	25005	24995
4	0.123662	0.000066	0.250000	-0.250000	0.010000	0.006000	0.010000	-0.010000	30025	29975	30001	25003	25005	24995
5	0.156920	0.033258	0.250000	-0.250000	0.010000	0.006000	0.010000	-0.010000	30025	29975	30001	25003	25005	24995
6	0.157003	0.000084	0.230000	0.210000	0.000000	0.006000	0.010000	-0.010000	30023	30021	30000	25003	25005	24995
7	0.190151	0.033148	0.230000	0.210000	0.000000	-0.024000	0.026000	-0.008000	30023	30021	30000	24988	25013	24996
8	0.190292	0.000140	0.200000	0.440000	0.010000	-0.024000	0.026000	-0.008000	30020	30044	30001	24988	25013	24996
9	0.223173	0.032882	0.200000	0.440000	0.010000	-0.040000	0.014000	-0.006000	30020	30044	30001	24980	25007	24997
10	0.223287	0.000113	0.610000	0.470000	0.280000	-0.040000	0.014000	-0.006000	30061	30047	30028	24980	25007	24997
11	0.250926	0.027639	0.610000	0.470000	0.280000	-0.056000	0.038000	0.008000	30061	30047	30028	24972	25019	25004
12	0.250993	0.000067	0.600000	0.640000	0.250000	-0.056000	0.038000	0.008000	30060	30064	30025	24972	25019	25004
13	0.280567	0.029574	0.600000	0.640000	0.250000	-0.074000	0.042000	0.004000	30060	30064	30025	24963	25021	25002
14	0.280684	0.000116	0.490000	0.480000	0.260000	-0.074000	0.042000	0.004000	30049	30048	30026	24963	25021	25002
15	0.308851	0.028167	0.490000	0.480000	0.260000	-0.066000	0.042000	-0.002000	30049	30048	30026	24967	25021	24999
16	0.308935	0.000084	0.140000	0.490000	0.270000	-0.066000	0.042000	-0.002000	30014	30049	30027	24967	25021	24999
17	0.336914	0.027979	0.140000	0.490000	0.270000	-0.056000	0.018000	-0.014000	30014	30049	30027	24972	25009	24993
18	0.337008	0.000094	-0.220000	-0.370000	0.340000	-0.056000	0.018000	-0.014000	29978	29963	30034	24972	25009	24993
19	0.367044	0.030036	-0.220000	-0.370000	0.340000	0.048000	-0.014000	0.000000	29978	29963	30034	25024	24993	25000
20	0.367113	0.000068	-0.040000	-0.390000	0.320000	0.048000	-0.014000	0.000000	29996	29961	30032	25024	24993	25000
21	0.397394	0.030281	-0.040000	-0.390000	0.320000	0.056000	-0.002000	0.004000	29996	29961	30032	25028	24999	25002
22	0.397465	0.000071	0.000000	-0.440000	0.600000	0.056000	-0.002000	0.004000	30000	29956	30060	25028	24999	25002
23	0.434952	0.037487	0.000000	-0.440000	0.600000	0.060000	0.004000	0.006000	30000	29956	30060	25030	25002	25003
24	0.435046	0.000095	0.640000	0.210000	0.580000	0.060000	0.004000	0.006000	30064	30021	30058	25030	25002	25003
25	0.472255	0.037209	0.640000	0.210000	0.580000	-0.016000	0.052000	-0.006000	30064	30021	30058	24992	25026	24997
26	0.472315	0.000060	0.580000	0.170000	0.590000	-0.016000	0.052000	-0.006000	30058	30017	30059	24992	25026	24997
27	0.498280	0.025964	0.580000	0.170000	0.590000	-0.016000	0.050000	-0.008000	30058	30017	30059	24992	25025	24996
