sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.400000	-0.630000	0.100000	0.000000	0.000000	0.000000	30040	29937	30010	0	0	0
2	0.125518	0.125518	0.400000	-0.630000	0.100000	0.032000	0.000000	-0.012000	30040	29937	30010	25016	25000	24994
3	0.125639	0.000121	0.360000	0.910000	-0.380000	0.032000	0.000000	-0.012000	30036	30091	29962	25016	25000	24994
4	0.159621	0.033982	0.360000	0.910000	-0.380000	-0.066000	0.022000	-0.002000	30036	30091	29962	24967	25011	24999
5	0.159691	0.000070	0.040000	0.840000	-0.370000	-0.066000	0.022000	-0.002000	30004	30084	29963	24967	25011	24999
6	0.191427	0.031736	0.040000	0.840000	-0.370000	-0.050000	0.008000	-0.012000	30004	30084	29963	24975	25004	24994
7	0.191526	0.000099	-0.120000	0.940000	-0.380000	-0.050000	0.008000	-0.012000	29988	30094	29962	24975	25004	24994
8	0.227537	0.036011	-0.120000	0.940000	-0.380000	-0.068000	-0.008000	-0.010000	29988	30094	29962	24966	24996	24995
9	0.227598	0.000061	-0.190000	0.420000	0.500000	-0.068000	-0.008000	-0.010000	29981	30042	30050	24966	24996	24995
10	0.260265	0.032668	-0.190000	0.420000	0.500000	-0.034000	-0.026000	-0.004000	29981	30042	30050	24983	24987	24998
11	0.260387	0.000122	0.020000	0.240000	0.480000	-0.034000	-0.026000	-0.004000	30002	30024	30048	24983	24987	24998
12	0.301107	0.040720	0.020000	0.240000	0.480000	-0.026000	-0.006000	0.000000	30002	30024	30048	24987	24997	25000
13	0.301217	0.000110	0.040000	0.190000	0.470000	-0.026000	-0.006000	0.000000	30004	30019	30047	24987	24997	25000
14	0.329949	0.028732	0.040000	0.190000	0.470000	-0.022000	-0.002000	0.002000	30004	30019	30047	24989	24999	25001
15	0.330028	0.000078	0.160000	0.410000	-0.390000	-0.022000	-0.002000	0.002000	30016	30041	29961	24989	24999	25001
16	0.359677	0.029649	0.160000	0.410000	-0.390000	-0.040000	0.008000	0.000000	30016	30041	29961	24980	25004	25000
17	0.359869	0.000192	0.340000	0.150000	-0.420000	-0.040000	0.008000	0.000000	30034	30015	29958	24980	25004	25000
18	0.397769	0.037900	0.340000	0.150000	-0.420000	-0.036000	0.010000	0.002000	30034	30015	29958	24982	25005	25001
19	0.397858	0.000089	0.300000	0.230000	-0.420000	-0.036000	0.010000	0.002000	30030	30023	29958	24982	25005	25001
20	0.429307	0.031449	0.300000	0.230000	-0.420000	-0.044000	0.002000	0.000000	30030	30023	29958	24978	25001	25000
21	0.429382	0.000074	0.100000	-0.330000	0.990000	-0.044000	0.002000	0.000000	30010	29967	30099	24978	25001	25000
22	0.460293	0.030912	0.100000	-0.330000	0.990000	0.012000	-0.012000	0.014000	30010	29967	30099	25006	24994	25007
23	0.460406	0.000113	0.130000	0.110000	1.030000	0.012000	-0.012000	0.014000	30013	30011	30103	25006	24994	25007
24	0.497423	0.037017	0.130000	0.110000	1.030000	-0.004000	0.010000	0.018000	30013	30011	30103	24998	25005	25009
25	0.497499	0.000076	0.150000	0.070000	1.030000	-0.004000	0.010000	0.018000	30015	30007	30103	24998	25005	25009
26	0.532075	0.034576	0.150000	0.070000	1.030000	-0.002000	0.014000	0.020000	30015	30007	30103	24999	25007	25010
27	0.532163	0.000088	0.060000	0.500000	0.460000	-0.002000	0.014000	0.020000	30006	30050	30046	24999	25007	25010
28	0.567013	0.034850	0.060000	0.500000	0.460000	-0.046000	0.010000	0.014000	30006	30050	30046	24977	25005	25007
29	0.567092	0.000079	-0.190000	-0.160000	0.410000	-0.046000	0.010000	0.014000	29981	29984	30041	24977	25005	25007
