sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-0.100000	0.580000	1.340000	0.000000	0.000000	0.000000	29990	30058	30134	0	0	0
2	0.132166	0.132166	-0.100000	0.580000	1.340000	-0.042000	0.016000	-0.010000	29990	30058	30134	24979	25008	24995
3	0.132277	0.000111	0.010000	0.570000	1.330000	-0.042000	0.016000	-0.010000	30001	30057	30133	24979	25008	24995
4	0.163534	0.031257	0.010000	0.570000	1.330000	-0.046000	0.022000	-0.008000	30001	30057	30133	24977	25011	24996
5	0.163601	0.000068	-0.090000	-0.040000	1.380000	-0.046000	0.022000	-0.008000	29991	29996	30138	24977	25011	24996
6	0.200063	0.036462	-0.090000	-0.040000	1.380000	0.000000	-0.002000	0.000000	29991	29996	30138	25000	24999	25000
7	0.200170	0.000107	0.250000	0.360000	1.400000	0.000000	-0.002000	0.000000	30025	30036	30140	25000	24999	25000
8	0.229967	0.029797	0.250000	0.360000	1.400000	-0.038000	0.022000	-0.004000	30025	30036	30140	24981	25011	24998
9	0.230034	0.000068	0.180000	0.100000	1.400000	-0.038000	0.022000	-0.004000	30018	30010	30140	24981	25011	24998
10	0.267729	0.037695	0.180000	0.100000	1.400000	-0.014000	0.032000	-0.008000	30018	30010	30140	24993	25016	24996
11	0.267860	0.000131	0.030000	-0.100000	1.410000	-0.014000	0.032000	-0.008000	30003	29990	30141	24993	25016	24996
12	0.299507	0.031647	0.030000	-0.100000	1.410000	-0.006000	0.014000	-0.002000	30003	29990	30141	24997	25007	24999
13	0.299668	0.000161	-0.610000	-0.900000	1.360000	-0.006000	0.014000	-0.002000	29939	29910	30136	24997	25007	24999
14	0.332769	0.033101	-0.610000	-0.900000	1.360000	0.062000	-0.046000	-0.004000	29939	29910	30136	25031	24977	24998
15	0.332843	0.000074	-0.760000	-0.890000	1.370000	0.062000	-0.046000	-0.004000	29924	29911	30137	25031	24977	24998
16	0.364294	0.031451	-0.760000	-0.890000	1.370000	0.064000	-0.056000	-0.010000	29924	29911	30137	25032	24972	24995
17	0.364355	0.000061	-0.410000	-0.390000	1.340000	0.064000	-0.056000	-0.010000	29959	29961	30134	25032	24972	24995
18	0.396322	0.031967	-0.410000	-0.390000	1.340000	0.040000	-0.014000	-0.022000	29959	29961	30134	25020	24993	24989
19	0.396456	0.000134	0.080000	0.430000	1.960000	0.040000	-0.014000	-0.022000	30008	30043	30196	25020	24993	24989
20	0.435984	0.039528	0.080000	0.430000	1.960000	-0.014000	0.044000	-0.012000	30008	30043	30196	24993	25022	24994
21	0.436075	0.000090	0.000000	0.540000	1.980000	-0.014000	0.044000	-0.012000	30000	30054	30198	24993	25022	24994
22	0.466099	0.030024	0.000000	0.540000	1.980000	-0.024000	0.036000	-0.012000	30000	30054	30198	24988	25018	24994
23	0.466209	0.000110	-0.100000	0.570000	1.970000	-0.024000	0.036000	-0.012000	29990	30057	30197	24988	25018	24994
24	0.494530	0.028321	-0.100000	0.570000	1.970000	-0.034000	0.028000	-0.010000	29990	30057	30197	24983	25014	24995
25	0.494594	0.000063	-0.380000	0.180000	1.070000	-0.034000	0.028000	-0.010000	29962	30018	30107	24983	25014	24995
26	0.521840	0.027246	-0.380000	0.180000	1.070000	-0.014000	-0.006000	-0.020000	29962	30018	30107	24993	24997	24990
27	0.521928	0.000088	-0.270000	0.160000	1.050000	-0.014000	-0.006000	-0.020000	29973	30016	30105	24993	24997	24990
28	0.549550	0.027621	-0.270000	0.160000	1.050000	-0.008000	0.000000	-0.018000	29973	30016	30105	24996	25000	24991
29	0.549645	0.000095	-0.220000	0.140000	1.060000	-0.008000	0.000000	-0.018000	29978	30014	30106	24996	25000	24991
30	0.581002	0.031357	-0.220000	0.140000	1.060000	-0.002000	0.004000	-0.020000	29978	30014	30106	24999	25002	24990
31	0.581197	0.000195	-0.130000	0.040000	1.360000	-0.002000	0.004000	-0.020000	29987	30004	30136	24999	25002	24990
32	0.608559	0.027362	-0.130000	0.040000	1.360000	0.002000	0.006000	-0.016000	29987	30004	30136	25001	25003	24992
33	0.608624	0.000065	-0.140000	0.110000	1.370000	0.002000	0.006000	-0.016000	29986	30011	30137	25001	25003	24992
34	0.634807	0.026183	-0.140000	0.110000	1.370000	-0.004000	0.002000	-0.016000	29986	30011	30137	24998	25001	24992
35	0.634870	0.000063	-0.260000	0.120000	1.360000	-0.004000	0.002000	-0.016000	29974	30012	30136	24998	25001	24992
36	0.661971	0.027101	-0.260000	0.120000	1.360000	-0.016000	-0.004000	-0.012000	29974	30012	30136	24992	24998	24994
37	0.662043	0.000072	-0.180000	0.040000	1.380000	-0.016000	-0.004000	-0.012000	29982	30004	30138	24992	24998	24994
38	0.688242	0.026199	-0.180000	0.040000	1.380000	-0.012000	-0.004000	-0.008000	29982	30004	30138	24994	24998	24996
39	0.688307	0.000065	-0.160000	-0.050000	1.390000	-0.012000	-0.004000	-0.008000	29984	29995	30139	24994	24998	24996
40	0.725446	0.037138	-0.160000	-0.050000	1.390000	-0.016000	0.000000	-0.008000	29984	29995	30139	24992	25000	24996
41	0.725588	0.000142	-0.110000	-0.070000	1.390000	-0.016000	0.000000	-0.008000	29989	29993	30139	24992	25000	24996
42	0.753811	0.028223	-0.110000	-0.070000	1.390000	-0.012000	0.004000	-0.010000	29989	29993	30139	24994	25002	24995
43	0.753902	0.000091	-0.200000	0.170000	1.960000	-0.012000	0.004000	-0.010000	29980	30017	30196	24994	25002	24995
44	0.787495	0.033593	-0.200000	0.170000	1.960000	-0.018000	0.012000	-0.006000	29980	30017	30196	24991	25006	24997
45	0.787560	0.000064	-0.210000	0.220000	1.950000	-0.018000	0.012000	-0.006000	29979	30022	30195	24991	25006	24997
46	0.816925	0.029366	-0.210000	0.220000	1.950000	-0.014000	0.010000	-0.006000	29979	30022	30195	24993	25005	24997
47	0.817122	0.000197	-0.140000	0.230000	1.960000	-0.014000	0.010000	-0.006000	29986	30023	30196	24993	25005	24997
48	0.845236	0.028114	-0.140000	0.230000	1.960000	-0.008000	0.014000	-0.008000	29986	30023	30196	24996	25007	24996
49	0.845295	0.000059	-0.320000	-0.110000	1.990000	-0.008000	0.014000	-0.008000	29968	29989	30199	24996	25007	24996
50	0.872545	0.027249	-0.320000	-0.110000	1.990000	0.026000	-0.004000	0.000000	29968	29989	30199	25013	24998	25000
51	0.872642	0.000097	-0.370000	0.010000	1.440000	0.026000	-0.004000	0.000000	29963	30001	30144	25013	24998	25000
52	0.902167	0.029525	-0.370000	0.010000	1.440000	0.008000	-0.012000	0.002000	29963	30001	30144	25004	24994	25001
53	0.902284	0.000117	-0.430000	0.070000	1.440000	0.008000	-0.012000	0.002000	29957	30007	30144	25004	24994	25001
54	0.944139	0.041856	-0.430000	0.070000	1.440000	-0.002000	-0.020000	0.002000	29957	30007	30144	24999	24990	25001
55	0.944229	0.000090	-0.050000	0.790000	1.390000	-0.002000	-0.020000	0.002000	29995	30079	30139	24999	24990	25001
56	0.974871	0.030641	-0.050000	0.790000	1.390000	-0.060000	0.020000	-0.012000	29995	30079	30139	24970	25010	24994
57	0.974941	0.000071	-0.110000	0.760000	1.380000	-0.060000	0.020000	-0.012000	29989	30076	30138	24970	25010	24994
58	1.006503	0.031561	-0.110000	0.760000	1.380000	-0.046000	0.018000	-0.014000	29989	30076	30138	24977	25009	24993
59	1.006589	0.000086	-0.070000	0.680000	1.380000	-0.046000	0.018000	-0.014000	29993	30068	30138	24977	25009	24993
60	1.037461	0.030872	-0.070000	0.680000	1.380000	-0.040000	0.028000	-0.012000	29993	30068	30138	24980	25014	24994
61	1.037592	0.000131	0.040000	0.730000	1.380000	-0.040000	0.028000	-0.012000	30004	30073	30138	24980	25014	24994
62	1.065932	0.028341	0.040000	0.730000	1.380000	-0.060000	0.028000	-0.012000	30004	30073	30138	24970	25014	24994
63	1.066001	0.000069	-0.080000	0.680000	1.380000	-0.060000	0.028000	-0.012000	29992	30068	30138	24970	25014	24994
64	1.099648	0.033647	-0.080000	0.680000	1.380000	-0.062000	0.010000	-0.016000	29992	30068	30138	24969	25005	24992
65	1.099765	0.000116	-0.230000	0.690000	1.390000	-0.062000	0.010000	-0.016000	29977	30069	30139	24969	25005	24992
66	1.129593	0.029828	-0.230000	0.690000	1.390000	-0.060000	0.000000	-0.022000	29977	30069	30139	24970	25000	24989
67	1.129706	0.000113	-0.210000	0.560000	1.400000	-0.060000	0.000000	-0.022000	29979	30056	30140	24970	25000	24989
68	1.156240	0.026534	-0.210000	0.560000	1.400000	-0.046000	-0.002000	-0.020000	29979	30056	30140	24977	24999	24990
69	1.156313	0.000072	0.060000	0.530000	1.660000	-0.046000	-0.002000	-0.020000	30006	30053	30166	24977	24999	24990
70	1.186275	0.029962	0.060000	0.530000	1.660000	-0.034000	0.028000	-0.014000	30006	30053	30166	24983	25014	24993
71	1.186356	0.000081	0.360000	0.510000	1.650000	-0.034000	0.028000	-0.014000	30036	30051	30165	24983	25014	24993
72	1.217802	0.031446	0.360000	0.510000	1.650000	-0.040000	0.050000	-0.004000	30036	30051	30165	24980	25025	24998
73	1.217886	0.000083	0.400000	0.880000	1.620000	-0.040000	0.050000	-0.004000	30040	30088	30162	24980	25025	24998
74	1.249101	0.031216	0.400000	0.880000	1.620000	-0.070000	0.062000	-0.008000	30040	30088	30162	24965	25031	24996
75	1.249177	0.000076	0.090000	0.630000	0.470000	-0.070000	0.062000	-0.008000	30009	30063	30047	24965	25031	24996
76	1.278402	0.029225	0.090000	0.630000	0.470000	-0.066000	0.014000	-0.018000	30009	30063	30047	24967	25007	24991
77	1.278509	0.000107	0.030000	0.760000	0.470000	-0.066000	0.014000	-0.018000	30003	30076	30047	24967	25007	24991
78	1.345749	0.067239	0.030000	0.760000	0.470000	-0.076000	0.002000	-0.022000	30003	30076	30047	24962	25001	24989
79	1.345830	0.000081	0.080000	0.110000	0.530000	-0.076000	0.002000	-0.022000	30008	30011	30053	24962	25001	24989
80	1.372796	0.026967	0.080000	0.110000	0.530000	-0.004000	-0.004000	-0.018000	30008	30011	30053	24998	24998	24991
81	1.372883	0.000087	0.170000	0.210000	1.120000	-0.004000	-0.004000	-0.018000	30017	30021	30112	24998	24998	24991
82	1.402218	0.029334	0.170000	0.210000	1.120000	-0.006000	0.024000	-0.014000	30017	30021	30112	24997	25012	24993
83	1.402338	0.000121	0.090000	0.100000	1.120000	-0.006000	0.024000	-0.014000	30009	30010	30112	24997	25012	24993
84	1.434461	0.032122	0.090000	0.100000	1.120000	0.008000	0.026000	-0.018000	30009	30010	30112	25004	25013	24991
85	1.434552	0.000091	-0.410000	-0.060000	1.110000	0.008000	0.026000	-0.018000	29959	29994	30111	25004	25013	24991
86	1.468128	0.033576	-0.410000	-0.060000	1.110000	0.010000	-0.012000	-0.006000	29959	29994	30111	25005	24994	24997
87	1.468204	0.000076	-0.340000	0.280000	1.990000	0.010000	-0.012000	-0.006000	29966	30028	30199	25005	24994	24997
88	1.498146	0.029942	-0.340000	0.280000	1.990000	-0.014000	-0.010000	0.000000	29966	30028	30199	24993	24995	25000
89	1.498212	0.000065	-0.340000	0.280000	1.990000	-0.014000	-0.010000	0.000000	29966	30028	30199	24993	24995	25000
90	1.527161	0.028950	-0.340000	0.280000	1.990000	-0.014000	-0.010000	0.000000	29966	30028	30199	24993	24995	25000
91	1.527585	0.000424	-0.230000	0.500000	1.980000	-0.014000	-0.010000	0.000000	29977	30050	30198	24993	24995	25000
92	1.554030	0.026445	-0.230000	0.500000	1.980000	-0.026000	0.006000	-0.004000	29977	30050	30198	24987	25003	24998
93	1.554088	0.000058	-0.270000	0.290000	1.390000	-0.026000	0.006000	-0.004000	29973	30029	30139	24987	25003	24998
94	1.578905	0.024817	-0.270000	0.290000	1.390000	-0.012000	0.004000	-0.008000	29973	30029	30139	24994	25002	24996
95	1.578969	0.000064	-0.150000	0.320000	1.390000	-0.012000	0.004000	-0.008000	29985	30032	30139	24994	25002	24996
96	1.606008	0.027039	-0.150000	0.320000	1.390000	-0.018000	0.010000	-0.004000	29985	30032	30139	24991	25005	24998
97	1.606087	0.000079	-0.020000	0.410000	1.390000	-0.018000	0.010000	-0.004000	29998	30041	30139	24991	25005	24998
98	1.634843	0.028756	-0.020000	0.410000	1.390000	-0.016000	0.024000	-0.008000	29998	30041	30139	24992	25012	24996
99	1.634941	0.000097	0.160000	0.350000	1.650000	-0.016000	0.024000	-0.008000	30016	30035	30165	24992	25012	24996
100	1.661547	0.026606	0.160000	0.350000	1.650000	-0.018000	0.034000	-0.010000	30016	30035	30165	24991	25017	24995
101	1.661643	0.000097	0.130000	0.140000	1.650000	-0.018000	0.034000	-0.010000	30013	30014	30165	24991	25017	24995
102	1.688431	0.026787	0.130000	0.140000	1.650000	0.002000	0.042000	-0.014000	30013	30014	30165	25001	25021	24993
103	1.688506	0.000076	-0.210000	0.010000	1.640000	0.002000	0.042000	-0.014000	29979	30001	30164	25001	25021	24993
104	1.715472	0.026966	-0.210000	0.010000	1.640000	-0.012000	0.008000	-0.004000	29979	30001	30164	24994	25004	24998
105	1.715535	0.000063	-0.010000	-0.030000	1.910000	-0.012000	0.008000	-0.004000	29999	29997	30191	24994	25004	24998
106	1.741786	0.026251	-0.010000	-0.030000	1.910000	-0.022000	0.014000	-0.012000	29999	29997	30191	24989	25007	24994
