sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	0.300000	0.500000	4.210000	0.000000	0.000000	0.000000	30030	30050	30421	0	0	0
2	0.166558	0.166558	0.300000	0.500000	4.210000	-0.040000	-0.008000	-0.020000	30030	30050	30421	24980	24996	24990
3	0.166649	0.000092	0.280000	0.770000	4.180000	-0.040000	-0.008000	-0.020000	30028	30077	30418	24980	24996	24990
4	0.200274	0.033625	0.280000	0.770000	4.180000	-0.054000	0.000000	-0.022000	30028	30077	30418	24973	25000	24989
5	0.200391	0.000117	0.350000	0.240000	4.410000	-0.054000	0.000000	-0.022000	30035	30024	30441	24973	25000	24989
6	0.239914	0.039523	0.350000	0.240000	4.410000	-0.022000	-0.012000	-0.034000	30035	30024	30441	24989	24994	24983
7	0.240029	0.000115	0.380000	0.010000	4.400000	-0.022000	-0.012000	-0.034000	30038	30001	30440	24989	24994	24983
8	0.271892	0.031863	0.380000	0.010000	4.400000	-0.004000	0.000000	-0.036000	30038	30001	30440	24998	25000	24982
9	0.271988	0.000096	0.620000	0.130000	4.390000	-0.004000	0.000000	-0.036000	30062	30013	30439	24998	25000	24982
10	0.302094	0.030106	0.620000	0.130000	4.390000	-0.022000	0.014000	-0.040000	30062	30013	30439	24989	25007	24980
11	0.302196	0.000102	0.600000	0.660000	3.630000	-0.022000	0.014000	-0.040000	30060	30066	30363	24989	25007	24980
12	0.337547	0.035351	0.600000	0.660000	3.630000	-0.056000	0.024000	-0.030000	30060	30066	30363	24972	25012	24985
13	0.337677	0.000130	0.590000	0.740000	3.630000	-0.056000	0.024000	-0.030000	30059	30074	30363	24972	25012	24985
14	0.367443	0.029767	0.590000	0.740000	3.630000	-0.062000	0.020000	-0.028000	30059	30074	30363	24969	25010	24986
15	0.367526	0.000083	0.190000	0.440000	3.650000	-0.062000	0.020000	-0.028000	30019	30044	30365	24969	25010	24986
16	0.396123	0.028597	0.190000	0.440000	3.650000	-0.030000	-0.008000	-0.020000	30019	30044	30365	24985	24996	24990
17	0.396236	0.000113	-0.070000	0.360000	3.940000	-0.030000	-0.008000	-0.020000	29993	30036	30394	24985	24996	24990
18	0.428277	0.032041	-0.070000	0.360000	3.940000	-0.022000	-0.018000	-0.026000	29993	30036	30394	24989	24991	24987
19	0.428407	0.000130	-0.080000	0.430000	3.940000	-0.022000	-0.018000	-0.026000	29992	30043	30394	24989	24991	24987
20	0.456539	0.028132	-0.080000	0.430000	3.940000	-0.028000	-0.022000	-0.026000	29992	30043	30394	24986	24989	24987
21	0.456628	0.000088	-0.090000	1.090000	3.870000	-0.028000	-0.022000	-0.026000	29991	30109	30387	24986	24989	24987
22	0.485589	0.028962	-0.090000	1.090000	3.870000	-0.066000	0.004000	-0.034000	29991	30109	30387	24967	25002	24983
23	0.485685	0.000096	0.120000	0.640000	3.260000	-0.066000	0.004000	-0.034000	30012	30064	30326	24967	25002	24983
24	0.516549	0.030865	0.120000	0.640000	3.260000	-0.038000	0.002000	-0.036000	30012	30064	30326	24981	25001	24982
25	0.516677	0.000128	0.140000	0.490000	3.260000	-0.038000	0.002000	-0.036000	30014	30049	30326	24981	25001	24982
26	0.544323	0.027646	0.140000	0.490000	3.260000	-0.026000	0.010000	-0.038000	30014	30049	30326	24987	25005	24981
27	0.544599	0.000276	0.510000	0.670000	3.240000	-0.026000	0.010000	-0.038000	30051	30067	30324	24987	25005	24981
28	0.571473	0.026874	0.510000	0.670000	3.240000	-0.052000	0.032000	-0.044000	30051	30067	30324	24974	25016	24978
29	0.571557	0.000084	0.900000	1.310000	3.580000	-0.052000	0.032000	-0.044000	30090	30131	30358	24974	25016	24978
30	0.598945	0.027388	0.900000	1.310000	3.580000	-0.082000	0.074000	-0.030000	30090	30131	30358	24959	25037	24985
31	0.599012	0.000067	0.890000	1.380000	3.590000	-0.082000	0.074000	-0.030000	30089	30138	30359	24959	25037	24985
32	0.635040	0.036028	0.890000	1.380000	3.590000	-0.088000	0.072000	-0.030000	30089	30138	30359	24956	25036	24985
33	0.635161	0.000121	0.430000	0.210000	3.710000	-0.088000	0.072000	-0.030000	30043	30021	30371	24956	25036	24985
34	0.664186	0.029025	0.430000	0.210000	3.710000	-0.002000	0.006000	-0.010000	30043	30021	30371	24999	25003	24995
