sample	t_s	dt_s	Fx	Fy	Fz	Tx	Ty	Tz	raw_Fx	raw_Fy	raw_Fz	raw_Tx	raw_Ty	raw_Tz
1	0.000000	0.000000	-0.080000	-0.340000	-1.160000	0.000000	0.000000	0.000000	29992	29966	29884	0	0	0
2	0.146700	0.146700	-0.080000	-0.340000	-1.160000	0.026000	0.006000	-0.006000	29992	29966	29884	25013	25003	24997
3	0.146831	0.000130	0.260000	0.100000	-1.160000	0.026000	0.006000	-0.006000	30026	30010	29884	25013	25003	24997
4	0.178114	0.031283	0.260000	0.100000	-1.160000	-0.026000	0.010000	-0.006000	30026	30010	29884	24987	25005	24997
5	0.178262	0.000148	0.270000	0.120000	-1.700000	-0.026000	0.010000	-0.006000	30027	30012	29830	24987	25005	24997
6	0.212232	0.033970	0.270000	0.120000	-1.700000	-0.022000	0.010000	-0.006000	30027	30012	29830	24989	25005	24997
7	0.212302	0.000070	0.340000	0.390000	-1.740000	-0.022000	0.010000	-0.006000	30034	30039	29826	24989	25005	24997
8	0.243612	0.031311	0.340000	0.390000	-1.740000	-0.042000	0.022000	-0.014000	30034	30039	29826	24979	25011	24993
9	0.243694	0.000082	0.300000	0.190000	-1.740000	-0.042000	0.022000	-0.014000	30030	30019	29826	24979	25011	24993
10	0.278066	0.034372	0.300000	0.190000	-1.740000	-0.024000	0.032000	-0.024000	30030	30019	29826	24988	25016	24988
11	0.278161	0.000095	0.250000	0.210000	-1.750000	-0.024000	0.032000	-0.024000	30025	30021	29825	24988	25016	24988
12	0.308011	0.029851	0.250000	0.210000	-1.750000	-0.030000	0.028000	-0.024000	30025	30021	29825	24985	25014	24988
13	0.308136	0.000125	0.230000	0.130000	-1.750000	-0.030000	0.028000	-0.024000	30023	30013	29825	24985	25014	24988
14	0.349770	0.041635	0.230000	0.130000	-1.750000	-0.026000	0.022000	-0.024000	30023	30013	29825	24987	25011	24988
15	0.349870	0.000100	-0.150000	-0.130000	-1.750000	-0.026000	0.022000	-0.024000	29985	29987	29825	24987	25011	24988
16	0.382584	0.032714	-0.150000	-0.130000	-1.750000	0.008000	0.002000	-0.012000	29985	29987	29825	25004	25001	24994
17	0.382702	0.000118	-0.200000	-0.120000	-1.750000	0.008000	0.002000	-0.012000	29980	29988	29825	25004	25001	24994
18	0.418349	0.035647	-0.200000	-0.120000	-1.750000	0.002000	-0.002000	-0.010000	29980	29988	29825	25001	24999	24995
19	0.418454	0.000106	-0.200000	-0.410000	-1.730000	0.002000	-0.002000	-0.010000	29980	29959	29827	25001	24999	24995
20	0.460993	0.042539	-0.200000	-0.410000	-1.730000	0.030000	-0.008000	-0.002000	29980	29959	29827	25015	24996	24999
21	0.461129	0.000136	0.150000	-0.180000	-1.730000	0.030000	-0.008000	-0.002000	30015	29982	29827	25015	24996	24999
22	0.509221	0.048092	0.150000	-0.180000	-1.730000	-0.002000	0.008000	-0.002000	30015	29982	29827	24999	25004	24999
23	0.509338	0.000117	0.160000	-0.170000	-1.190000	-0.002000	0.008000	-0.002000	30016	29983	29881	24999	25004	24999
24	0.540454	0.031116	0.160000	-0.170000	-1.190000	-0.006000	0.008000	-0.002000	30016	29983	29881	24997	25004	24999
25	0.540544	0.000090	0.110000	0.170000	-1.160000	-0.006000	0.008000	-0.002000	30011	30017	29884	24997	25004	24999
26	0.571957	0.031413	0.110000	0.170000	-1.160000	-0.030000	0.012000	-0.004000	30011	30017	29884	24985	25006	24998
27	0.572029	0.000073	-0.020000	0.180000	-1.150000	-0.030000	0.012000	-0.004000	29998	30018	29885	24985	25006	24998
28	0.604312	0.032282	-0.020000	0.180000	-1.150000	-0.026000	0.006000	-0.014000	29998	30018	29885	24987	25003	24993
29	0.604434	0.000123	0.140000	0.140000	-1.690000	-0.026000	0.006000	-0.014000	30014	30014	29831	24987	25003	24993
30	0.635817	0.031383	0.140000	0.140000	-1.690000	-0.006000	0.018000	-0.018000	30014	30014	29831	24997	25009	24991
31	0.635901	0.000083	-0.030000	-0.480000	-1.670000	-0.006000	0.018000	-0.018000	29997	29952	29833	24997	25009	24991
32	0.670680	0.034779	-0.030000	-0.480000	-1.670000	0.038000	-0.012000	-0.014000	29997	29952	29833	25019	24994	24993
33	0.670786	0.000106	-0.200000	-0.670000	-1.670000	0.038000	-0.012000	-0.014000	29980	29933	29833	25019	24994	24993
34	0.704124	0.033338	-0.200000	-0.670000	-1.670000	0.062000	-0.020000	-0.008000	29980	29933	29833	25031	24990	24996
35	0.704212	0.000089	-0.100000	-0.700000	-1.660000	0.062000	-0.020000	-0.008000	29990	29930	29834	25031	24990	24996
36	0.736034	0.031822	-0.100000	-0.700000	-1.660000	0.074000	-0.012000	-0.010000	29990	29930	29834	25037	24994	24995
37	0.736162	0.000127	-0.110000	-0.880000	-2.000000	0.074000	-0.012000	-0.010000	29989	29912	29800	25037	24994	24995
38	0.763575	0.027413	-0.110000	-0.880000	-2.000000	0.080000	-0.020000	-0.020000	29989	29912	29800	25040	24990	24990
39	0.763638	0.000063	0.180000	-0.740000	-2.000000	0.080000	-0.020000	-0.020000	30018	29926	29800	25040	24990	24990
40	0.795329	0.031691	0.180000	-0.740000	-2.000000	0.054000	-0.008000	-0.010000	30018	29926	29800	25027	24996	24995
41	0.795414	0.000085	0.010000	-0.430000	-2.030000	0.054000	-0.008000	-0.010000	30001	29957	29797	25027	24996	24995
42	0.826499	0.031085	0.010000	-0.430000	-2.030000	-0.012000	-0.028000	-0.006000	30001	29957	29797	24994	24986	24997
43	0.826608	0.000110	0.340000	0.140000	-0.950000	-0.012000	-0.028000	-0.006000	30034	30014	29905	24994	24986	24997
44	0.894471	0.067863	0.340000	0.140000	-0.950000	-0.046000	0.016000	-0.004000	30034	30014	29905	24977	25008	24998
45	0.894542	0.000070	0.340000	0.140000	-0.950000	-0.046000	0.016000	-0.004000	30034	30014	29905	24977	25008	24998
46	0.929243	0.034701	0.340000	0.140000	-0.950000	-0.046000	0.016000	-0.004000	30034	30014	29905	24977	25008	24998
47	0.929404	0.000161	0.490000	-0.060000	-0.930000	-0.046000	0.016000	-0.004000	30049	29994	29907	24977	25008	24998
48	0.966991	0.037586	0.490000	-0.060000	-0.930000	-0.010000	0.034000	-0.006000	30049	29994	29907	24995	25017	24997
49	0.967096	0.000105	0.300000	-0.130000	-1.160000	-0.010000	0.034000	-0.006000	30030	29987	29884	24995	25017	24997
50	0.995366	0.028271	0.300000	-0.130000	-1.160000	-0.006000	0.014000	-0.004000	30030	29987	29884	24997	25007	24998
51	0.995540	0.000173	0.370000	-0.190000	-1.170000	-0.006000	0.014000	-0.004000	30037	29981	29883	24997	25007	24998
52	1.023117	0.027577	0.370000	-0.190000	-1.170000	-0.004000	0.020000	-0.002000	30037	29981	29883	24998	25010	24999
53	1.023232	0.000115	0.680000	-0.120000	-1.170000	-0.004000	0.020000	-0.002000	30068	29988	29883	24998	25010	24999
54	1.051382	0.028150	0.680000	-0.120000	-1.170000	-0.012000	0.042000	-0.006000	30068	29988	29883	24994	25021	24997
55	1.051440	0.000057	0.710000	-0.160000	-1.710000	-0.012000	0.042000	-0.006000	30071	29984	29829	24994	25021	24997
56	1.082088	0.030648	0.710000	-0.160000	-1.710000	-0.004000	0.044000	-0.002000	30071	29984	29829	24998	25022	24999
57	1.082200	0.000112	0.310000	-0.090000	-1.690000	-0.004000	0.044000	-0.002000	30031	29991	29831	24998	25022	24999
58	1.113925	0.031725	0.310000	-0.090000	-1.690000	0.004000	0.018000	-0.012000	30031	29991	29831	25002	25009	24994
